TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,0.0,0.0828312,6.08957,6.00674,6.08997,9.09623,0.0,2.0,0.0,9.58354,0.487311,9.80071,1.1057,1.21269,2.31839,9.89744,12.2166
2,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,1.0,12.304,18.3175,6.01352,18.3178,21.3272,0.0,1.0,0.0,21.615,0.287758,9.61099,3.9403,1.41224,5.35254,21.9332,27.2888
3,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,2.0,27.3607,33.371,6.01025,33.3714,36.3793,1.0,2.0,0.0,36.4304,0.0510125,9.36965,1.7448,1.64899,3.39379,36.744,40.1393
4,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,3.0,40.1951,46.2015,6.00648,46.2019,49.2081,1.0,1.0,0.0,49.5338,0.325642,9.63872,1.1188,1.37436,2.49316,49.8482,52.3429
5,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,4.0,52.4195,58.432,6.01251,58.4323,61.437,1.0,2.0,0.0,61.5813,0.144337,9.46181,2.3911,1.55566,3.94676,61.8942,65.8417
6,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,5.0,65.9176,71.9299,6.01229,71.9302,74.9364,1.0,1.0,1.0,74.9408,0.00440185,9.32318,1.1584,1.6956,2.854,75.2546,78.1103
7,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,6.0,78.1824,84.1921,6.00963,84.1924,87.196,1.0,2.0,1.0,87.5562,0.360224,9.67376,1.1231,1.33978,2.46288,87.8742,90.3428
8,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,7.0,90.417,96.4254,6.00841,96.4257,99.4326,0.0,2.0,0.0,99.7636,0.331003,9.64662,1.2245,1.369,2.5935,100.079,102.676
9,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,8.0,102.748,108.757,6.0087,108.757,111.76,1.0,2.0,1.0,111.931,0.170719,9.48313,1.1342,1.52928,2.66348,112.248,114.913
10,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,9.0,114.994,121.001,6.00686,121.001,124.01,0.0,1.0,0.0,124.459,0.448535,9.76427,1.3975,1.25147,2.64897,124.775,127.427
11,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,10.0,127.491,133.505,6.01424,133.506,136.51,1.0,1.0,0.0,137.146,0.636972,9.95531,4.7413,1.06303,5.80433,137.46,143.266
12,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,11.0,143.347,149.358,6.01043,149.358,152.362,0.0,2.0,0.0,152.609,0.24691,9.56229,1.1239,1.45309,2.57699,152.924,155.504
13,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,12.0,155.576,161.591,6.01448,161.591,164.595,1.0,1.0,0.0,165.289,0.69352,10.0124,1.2493,1.00648,2.25578,165.606,167.864
14,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,13.0,167.942,173.948,6.00596,173.948,176.957,1.0,2.0,0.0,177.296,0.339618,9.6544,2.5049,1.36038,3.86528,177.608,181.476
15,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,14.0,181.55,187.56,6.00978,187.56,190.566,1.0,2.0,0.0,190.616,0.0498369,9.36544,3.6229,1.65016,5.27306,190.929,196.203
16,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,15.0,196.351,202.364,6.01281,202.364,205.372,1.0,1.0,1.0,205.575,0.202934,9.52418,3.1912,1.49707,4.68827,205.889,210.58
17,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,16.0,210.657,216.672,6.01489,216.672,219.676,1.0,2.0,0.0,220.03,0.354583,9.67333,3.4263,1.34542,4.77172,220.343,225.118
18,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,17.0,225.195,231.203,6.00772,231.203,234.209,0.0,2.0,0.0,235.462,1.25227,10.5665,1.1622,0.447732,1.60993,235.774,237.386
