TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,0.0,176.875,6.0,4.0,2.0,3.0,16.0,15.5029,192.378,192.379,195.383,1.0,2.0,0.0,196.970153809,1.58721530437,20.3949,2.134,0.49728,0.112784698606,2.74406,197.278,200.024
2,0.9,0.75,1,0.25,-5,10,RR4,20,15,13.75,14.5,RR,0.1,1.0,1.0,200.024,26.0,14.0,12.0,14.0,20.0,19.542,219.566,219.567,222.572,0.0,2.0,1.0,223.425018311,0.853304684162,23.7005,1.1749,0.458105,0.846695303917,2.4797,223.732,226.215
3,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,2.0,226.215,26.0,6.0,20.0,1.0,15.0,14.5006,240.716,240.716,243.721,1.0,2.0,0.0,244.456085205,0.735539257526,18.541,1.727,0.49948,0.964460730553,3.19094,244.765,247.959
4,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,3.0,247.959,39.0,27.0,12.0,2.0,18.0,17.6445,265.604,265.604,268.613,1.0,NA,NA,NA,NA,2.0,1.0587,0.355611,NA,1.41431,270.621,272.037
5,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,4.0,272.038,28.0,15.0,13.0,3.0,15.0,14.5028,286.541,286.541,289.548,1.0,1,0,289.862173407,0.313895520056,18.1244,1.3679,0.497276,1.38610447994,3.25128,290.17,293.424
6,0.1,1,2,0,0,-5,MD1,-3,25,-3,-2,MD,0.9,1.0,5.0,293.424,32.0,0.0,32.0,0.0,15.0,14.7201,308.144,308.145,311.15,0.0,1,1,311.669242238,0.518999722553,18.545,1.233,0.279951,1.18100027745,2.69395,311.976,314.676
