TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,0.0,119.821,1.0,1.0,0.0,0.0,15.0,14.5013,134.323,134.324,137.356,0.0,1.0,1.0,139.309,1.95345,19.7877,4.7413,0.49881,-0.253447,4.98666,139.628,144.622
2,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,1.0,144.622,3.0,2.0,1.0,2.0,15.0,14.5141,159.137,159.137,162.17,0.0,1.0,1.0,163.405,1.23554,19.0827,2.134,0.48594,0.464465,3.08441,163.724,166.819
3,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,2.0,166.82,2.0,1.0,1.0,1.0,18.0,17.5141,184.334,184.334,187.367,0.0,1.0,1.0,188.037,0.670503,21.5174,1.0587,0.485991,1.0295,2.57419,188.342,190.916
4,0.3,1,2,0,0,-2,MD2,2,9,2,1.3,MD,0.7,1.0,3.0,190.917,2.0,1.0,1.0,1.0,20.0,19.514,210.431,210.431,213.464,1.0,1.0,1.0,214.557,1.09352,23.9403,2.3911,0.486107,0.606485,3.48369,214.872,218.363
5,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,4.0,218.363,3.0,1.0,2.0,2.0,15.0,14.5146,232.878,232.879,235.911,1.0,1.0,1.0,236.821,0.909569,18.7575,1.727,0.485477,0.790431,3.00291,237.136,240.144
6,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,5.0,240.144,2.0,1.0,1.0,1.0,16.0,15.5142,255.659,255.659,258.692,0.0,2.0,1.0,259.461,0.769337,19.6164,2.557,0.485869,0.930663,3.97353,259.781,263.758
