TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,0.0,2.2703,18.0,9.0,9.0,17.0,15.0,14.9257,17.196,17.1968,20.2292,0.0,1.0,1.0,20.6938,0.464632,18.7235,1.2245,0.0744023,1.23537,2.53427,21.2022,23.746
2,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,1.0,23.7463,19.0,8.0,11.0,16.0,17.0,16.514,40.2603,40.2608,43.2932,1.0,2.0,0.0,44.1499,0.856698,20.7035,1.3267,0.486083,0.843302,2.65608,44.6728,47.3425
3,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,2.0,47.3428,23.0,14.0,9.0,11.0,18.0,17.5124,64.8552,64.8558,67.8736,0.0,1.0,0.0,68.4058,0.532191,21.363,3.6695,0.487718,1.16781,5.32503,68.9156,74.2565
4,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,3.0,74.2568,23.0,11.0,12.0,17.0,18.0,17.5924,91.8492,91.8497,94.8705,1.0,2.0,0.0,95.3898,0.519257,21.4329,1.8808,0.407704,1.18074,3.46925,95.8981,99.3703
5,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,4.0,99.3706,16.0,8.0,8.0,4.0,15.0,14.6049,113.975,113.976,117.001,0.0,1.0,0.0,117.374,0.372534,18.3032,4.6191,0.395176,1.32747,6.34174,117.886,124.234
6,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,5.0,124.234,16.0,8.0,8.0,3.0,15.0,15.0083,139.242,139.243,142.265,1.0,2.0,0.0,142.846,0.580709,18.9116,1.2853,-0.00821389,1.11929,2.39638,143.348,145.748
7,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,6.0,145.748,19.0,9.0,10.0,17.0,15.0,14.5145,160.263,160.264,163.296,1.0,1.0,1.0,163.774,0.477798,18.3254,1.0887,0.485576,1.2222,2.79648,164.296,167.096
8,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,7.0,167.096,17.0,8.0,9.0,16.0,16.0,15.5691,182.665,182.666,185.693,1.0,2.0,0.0,186.502,0.808459,19.7057,1.3975,0.43094,0.891541,2.71998,187.013,189.743
9,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,8.0,189.743,17.0,8.0,9.0,12.0,15.0,15.0305,204.774,204.775,207.807,0.0,2.0,1.0,208.59,0.782419,19.1462,1.0113,-0.0304289,0.917581,1.89845,209.11,211.024
10,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,9.0,211.024,16.0,9.0,7.0,12.0,15.0,14.5158,225.54,225.541,228.571,0.0,2.0,0.0,229.062,0.490747,18.3377,1.4411,0.48427,1.20925,3.13462,229.573,232.722
