TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.9,0.75,1,0.25,-5,10,RR4,20,15,13.75,14.5,RR,0.1,1.0,0.0,71.6418,77.6944,6.05257,77.6947,80.7275,0.0,1.0,0.0,82.7172,1.98977,11.3754,4.7413,-0.289772,4.45153,83.0411,87.4938
2,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,1.0,87.5579,93.6092,6.05129,93.6095,96.6422,1.0,1.0,0.0,97.5333,0.891098,10.2754,1.0587,0.808902,1.8676,97.85,99.7255
3,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,2.0,99.7985,105.858,6.05944,105.858,108.891,0.0,2.0,0.0,109.781,0.890251,10.2826,1.233,0.809749,2.04275,110.099,112.157
4,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,3.0,112.224,118.29,6.06577,118.29,121.322,0.0,2.0,0.0,122.389,1.06665,10.4652,1.727,0.633352,2.36035,122.706,125.073
5,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,4.0,125.129,131.188,6.05954,131.188,134.221,0.0,1.0,1.0,135.421,1.20043,10.5925,1.3679,0.499574,1.86747,135.745,137.621
6,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,5.0,137.688,143.737,6.0485,143.737,146.77,0.0,1.0,0.0,147.829,1.05936,10.4407,3.9403,0.640636,4.58094,148.148,152.736
