TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,0.0,4.72857,16.0,9.0,7.0,2.0,16.0,15.516,20.2445,20.2453,23.2771,1.0,1.0,1.0,24.0002422333,0.723118901253,19.5717,1.0587,0.484172,0.976881086826,2.51975,24.524,27.0606
2,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,1.0,27.0609,18.0,9.0,9.0,17.0,17.0,16.6021,43.663,43.6636,46.6908,0.0,1.0,1.0,47.4481697083,0.757335245609,20.6872,2.2012,0.397985,0.94266474247,3.54185,47.9641,51.5075
3,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,2.0,51.5078,16.0,8.0,8.0,15.0,19.0,18.514,70.0218,70.0223,73.0547,0.0,1.0,1.0,74.1202392578,1.06557667255,22.9124,1.8631,0.48608,0.63442325592,2.9836,74.6229,77.6212
4,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,3.0,77.6215,16.0,8.0,8.0,15.0,15.0,14.7592,92.3807,92.3812,95.402,0.0,1.0,1.0,95.9201889038,0.518195986748,18.5987,1.5966,0.240883,1.18180406094,3.01929,96.4328,99.4685
5,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,4.0,99.4688,21.0,9.0,12.0,16.0,18.0,17.9693,117.438,117.439,120.466,1.0,2.0,0.0,122.096176147,1.63035178185,22.9273,1.233,0.0307868,0.0696481689811,1.33343,122.618,123.966
6,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,5.0,123.966,15.0,7.0,8.0,14.0,15.0,14.5145,138.48,138.481,141.513,1.0,NA,NA,NA,NA,2.0,1.7267,0.485584,NA,2.21228,143.521,145.746
7,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,6.0,145.747,15.0,8.0,7.0,12.0,15.0,14.5145,160.261,160.262,163.294,1.0,2,1,163.880121883,0.586430503055,18.4334,4.653,0.485586,1.11356949694,6.25216,164.406,170.66
8,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,7.0,170.661,14.0,7.0,7.0,13.0,16.0,15.5143,186.175,186.175,189.208,0.0,2,0,189.576186359,0.368290768005,19.2155,1.4961,0.485787,1.331709232,3.3136,190.087,193.408
9,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,8.0,193.408,15.0,7.0,8.0,14.0,19.0,18.6885,212.096,212.097,215.122,0.0,2,1,215.552075938,0.430520229973,22.4441,2.274,0.311603,1.26947977003,3.85508,216.071,219.938
10,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,9.0,219.938,17.0,8.0,9.0,5.0,17.0,16.5577,236.496,236.496,239.519,0.0,2,1,240.008060971,0.489469272085,20.37,1.2135,0.442367,1.21053072792,2.8664,240.533,243.402
11,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,10.0,243.402,19.0,9.0,10.0,6.0,16.0,15.5164,258.919,258.919,261.949,1.0,1,1,262.488042017,0.538785850629,19.3858,1.0098,0.483673,1.16121414937,2.65469,262.999,265.666
12,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,11.0,265.666,18.0,9.0,9.0,5.0,17.0,16.5142,282.18,282.181,285.213,1.0,2,0,285.928169791,0.714871019125,20.5619,1.2377,0.48591,0.985128980875,2.70874,286.441,289.163
