Trial,Resp,LR,Outcome,RT,respOnset
1,2,1,-10,0.7908217664808035,12.151306051760912
1,2,1,+5,0.6661298731341958,12.817435924895108
1,2,1,-10,0.700298666022718,13.517734590917826
1,2,1,+5,0.6509450851008296,14.168679676018655
1,2,1,+5,0.6821997100487351,14.85087938606739
1,1,1,+3,0.7667317362502217,15.617611122317612
1,1,1,+3,0.6497591035440564,16.26737022586167
1,1,1,+3,0.6660532234236598,16.93342344928533
1,1,1,+3,0.6508827842772007,17.58430623356253
1,1,1,+3,0.6663530226796865,18.250659256242216
1,2,1,+5,0.6498368848115206,18.900496141053736
1,2,1,+5,0.6498580295592546,19.55035417061299
1,2,1,+5,0.6668944740667939,20.217248644679785
1,2,1,+5,0.6996137350797653,20.91686237975955
1,2,1,+5,0.7998731322586536,21.716735512018204
1,1,1,+3,0.6497908206656575,22.36652633268386
1,1,1,+3,0.6665444560348988,23.03307078871876
1,1,1,+3,0.7000543717294931,23.733125160448253
1,1,1,+3,0.7000649441033602,24.433190104551613
1,1,1,+3,0.7164500607177615,25.149640165269375
1,2,1,+5,0.766629034653306,25.91626919992268
1,2,1,+5,0.683960746973753,26.600229946896434
2,1,0,+24,0.3993305489420891,34.5820584949106
2,1,0,+24,0.547551766037941,35.12961026094854
2,1,0,+24,0.552002688869834,35.68161294981837
2,1,0,+40,0.5480173230171204,36.22963027283549
2,1,0,+24,0.5519385002553463,36.78156877309084
2,1,0,+24,0.5332233309745789,37.31479210406542
2,2,0,+35,0.8498614281415939,38.16465353220701
2,2,0,+35,0.5668038539588451,38.73145738616586
2,2,0,+35,0.6001959647983313,39.33165335096419
2,2,0,+35,0.5662491880357265,39.897902538999915
2,2,0,+35,0.5498976754024625,40.44780021440238
2,1,0,+24,0.7833479335531592,41.23114814795554
2,1,0,+24,0.5660981554538012,41.79724630340934
2,1,0,+24,0.5672935768961906,42.36453988030553
2,1,0,+24,0.5832138918340206,42.94775377213955
2,1,0,+24,0.5327313439920545,43.480485116131604
2,2,0,+35,0.9335367232561111,44.414021839387715
2,1,0,+24,1.0668888101354241,45.48091064952314
2,1,0,+24,0.566334143280983,46.04724479280412
2,1,0,+24,0.7667525038123131,46.813997296616435
2,1,0,+40,0.7662201141938567,47.58021741081029
2,1,0,+24,0.8664610115811229,48.446678422391415
2,2,0,+35,0.7170409746468067,49.16371939703822
