Trial,Resp,LR,Outcome,RT,respOnset
1,1,0,0,1.2736089928075671,16.09463873039931
1,1,0,-10,0.7164908396080136,16.811129570007324
1,1,0,0,0.7000475758686662,17.51117714587599
1,1,0,-10,1.1498266896232963,18.661003835499287
1,1,0,-10,0.5999697940424085,19.260973629541695
1,2,0,-8,1.0999101353809237,20.36088376492262
1,2,0,-8,1.1165131172165275,21.477396882139146
1,2,0,-8,0.8498402833938599,22.327237165533006
1,2,0,-8,0.8000940177589655,23.12733118329197
1,2,0,-8,0.8331534788012505,23.960484662093222
1,2,0,-8,0.8330522878095508,24.793536949902773
1,2,0,-8,3.4493830325081944,28.242919982410967
1,2,0,-8,0.5666822735220194,28.809602255932987
2,1,0,-22,1.149310914799571,37.292284136638045
2,1,0,+4,0.6005210615694523,37.8928051982075
2,2,0,-6,5.565294664353132,43.45809986256063
2,2,0,-6,1.0331840626895428,44.49128392525017
2,2,0,-6,0.7167755356058478,45.20805946085602
2,2,0,-6,0.7164746038615704,45.92453406471759
2,2,0,-6,0.6333264112472534,46.557860475964844
2,2,0,-6,0.6164825335144997,47.174343009479344
3,2,1,+12,1.0663375416770577,59.78968222718686
3,2,1,0,0.6165263326838613,60.40620855987072
3,2,1,0,0.7166558429598808,61.1228644028306
3,2,1,+12,0.5828808657824993,61.7057452686131
3,2,1,+12,0.5336371595039964,62.239382428117096
3,1,1,+7,0.583068523555994,62.82245095167309
3,1,1,+7,0.633371721021831,63.45582267269492
3,1,1,+7,0.5834174081683159,64.03924008086324
3,1,1,+7,0.64971190597862,64.68895198684186
3,1,1,+7,0.5666033588349819,65.25555534567684
3,1,1,+7,0.5499830087646842,65.80553835444152
3,1,1,+7,0.8001551851630211,66.60569353960454
3,1,1,+7,1.0995729565620422,67.70526649616659
3,2,1,+12,0.550007551908493,68.25527404807508
3,2,1,+12,0.7500989260151982,69.00537297409028
3,2,1,+12,1.0330598391592503,70.03843281324953
3,2,1,0,0.7497776048257947,70.78821041807532
3,2,1,0,0.5834891479462385,71.37169956602156
3,2,1,+12,0.5829261755570769,71.95462574157864
3,2,1,+12,0.6165980724617839,72.57122381404042
4,2,1,+10,0.6661563031375408,83.85352245066315
4,2,1,+10,0.6832950720563531,84.5368175227195
4,2,1,+10,0.6331636738032103,85.16998119652271
4,2,1,+10,0.599918064661324,85.76989926118404
4,2,1,+10,0.5832214429974556,86.35312070418149
4,2,1,+10,0.68415557872504,87.03727628290653
4,2,1,+10,0.5996722597628832,87.63694854266942
4,2,1,+10,0.63232053630054,88.26926907896996
4,1,1,-5,0.6004780167713761,88.86974709574133
4,1,1,-5,0.5996971800923347,89.46944427583367
4,1,1,-5,0.8666905807331204,90.33613485656679
4,1,1,-5,0.7167090810835361,91.05284393765032
4,1,1,-5,0.6496696174144745,91.7025135550648
4,1,1,-5,0.6663756771013141,92.36888923216611
4,1,1,-5,0.6668533179908991,93.03574255015701
4,1,1,-5,0.6833826703950763,93.71912522055209
4,1,1,-5,0.6663722796365619,94.38549750018865
4,1,1,-5,1.2665399247780442,95.6520374249667
4,1,1,-5,0.7168023446574807,96.36883976962417
4,1,1,-5,0.6497575929388404,97.01859736256301
4,1,1,-5,0.5495540769770741,97.56815143954009
5,1,0,+2,0.6326603582128882,106.28419635631144
5,1,0,+2,0.899573334492743,107.18376969080418
5,1,0,+2,0.6835295492783189,107.8672992400825
5,1,0,+2,0.7165950518101454,108.58389429189265
5,1,0,+2,0.8000324722379446,109.38392676413059
5,1,0,+2,0.8165606921538711,110.20048745628446
5,1,0,+2,0.7998874811455607,111.00037493743002
5,1,0,-30,0.6831300687044859,111.68350500613451
5,2,0,-1,1.0666818963363767,112.75018690247089
5,2,0,-1,0.7163885151967406,113.46657541766763
5,2,0,-1,0.7666531996801496,114.23322861734778
5,2,0,-1,0.7827290780842304,115.01595769543201
5,2,0,-1,0.6671584025025368,115.68311609793454
5,2,0,-1,0.6999690383672714,116.38308513630182
5,2,0,-1,0.6331470599398017,117.01623219624162
5,2,0,-1,0.6666954895481467,117.68292768578976
5,2,0,-1,0.6159720439463854,118.29889972973615
5,2,0,-1,0.6503787133842707,118.94927844312042
5,2,0,-1,0.6501616043969989,119.59944004751742
5,2,0,-1,0.6664674300700426,120.26590747758746
5,2,0,-1,0.6166029814630747,120.88251045905054
6,1,0,+12,1.5662129400298,130.88141018804163
6,1,0,+12,0.5497047323733568,131.43111492041498
6,1,0,+5,0.5501498989760876,131.98126481939107
6,1,0,+12,0.6332006771117449,132.61446549650282
6,1,0,+12,0.5497632566839457,133.16422875318676
6,1,0,+12,0.5999645069241524,133.76419326011091
6,2,0,+17,1.3665467221289873,135.1307399822399
6,2,0,-5,1.0340978084132075,136.1648377906531
6,2,0,+17,0.6326399696990848,136.7974777603522
6,2,0,+17,0.5837017260491848,137.38117948640138
6,2,0,+17,0.5825002640485764,137.96367975044996
6,2,0,+17,1.0664610108360648,139.03014076128602
6,2,0,+17,0.6001400826498866,139.6302808439359
6,1,0,+12,0.883231638930738,140.51351248286664
6,1,0,+12,1.1498568961396813,141.66336937900633
6,1,0,+12,0.5666577313095331,142.23002711031586
6,1,0,+5,1.116504809819162,143.34653192013502
6,1,0,+12,0.7831927472725511,144.12972466740757
6,1,0,+5,0.5664610117673874,144.69618567917496
7,1,0,-7,1.0827154852449894,155.1451495969668
7,1,0,-7,0.5665950523689389,155.71174464933574
7,1,0,-7,0.5664621433243155,156.27820679266006
7,1,0,-7,1.0500641893595457,157.3282709820196
7,1,0,-7,0.8496745247393847,158.177945506759
7,1,0,-7,0.6668540732935071,158.8447995800525
7,1,0,+24,1.0163315003737807,159.86113108042628
7,1,0,-7,0.5998738883063197,160.4610049687326
7,1,0,+24,0.5677126906812191,161.02871765941381
7,2,0,-2,1.199984141625464,162.22870180103928
7,2,0,-2,0.5653951009735465,162.79409690201283
7,2,0,-2,1.0665984507650137,163.86069535277784
7,2,0,-2,0.9666988868266344,164.82739423960447
7,2,0,-2,1.1164187211543322,165.9438129607588
7,2,0,-2,1.2165871234610677,167.16040008421987
7,2,0,-2,1.016645647585392,168.17704573180526
7,2,0,-2,0.7332188012078404,168.9102645330131
7,2,0,-2,1.0998066784814,170.0100712114945
8,2,1,+30,0.7328929482027888,181.70881386753172
8,2,1,+30,0.5664319368079305,182.27524580433965
8,2,1,-12,0.8499890500679612,183.1252348544076
8,2,1,+30,1.0499105136841536,184.17514536809176
8,2,1,-12,1.0833037560805678,185.25844912417233
8,2,1,+30,1.0497489087283611,186.3081980329007
8,2,1,-12,0.7000336050987244,187.00823163799942
8,1,1,+12,0.5831836853176355,187.59141532331705
8,1,1,+12,0.7999966014176607,188.3914119247347
8,1,1,+12,1.1163515131920576,189.50776343792677
8,1,1,+12,0.6167385326698422,190.1245019705966
8,1,1,+12,0.5830545527860522,190.70755652338266
8,1,1,+12,1.2332456083968282,191.9408021317795
8,1,1,+12,1.2332882760092616,193.17409040778875
8,1,1,+12,1.2830983521416783,194.45718875993043
8,1,1,+12,0.5833165934309363,195.04050535336137
8,1,1,+12,1.3498991867527366,196.3904045401141
8,1,1,+12,0.5664360905066133,196.95684063062072
9,1,0,+24,1.632698872126639,206.58923139609396
9,1,0,+40,0.6165980733931065,207.20582946948707
9,1,0,+24,0.6161853764206171,207.8220148459077
9,1,0,+24,0.8836156381294131,208.7056304840371
9,1,0,+24,0.5665584271773696,209.27218891121447
9,2,0,+35,0.683355862274766,209.95554477348924
9,2,0,+35,0.7166033582761884,210.67214813176543
9,2,0,+35,0.7006679410114884,211.3728160727769
9,2,0,+35,0.849110797047615,212.22192686982453
9,2,0,+35,0.733148948289454,212.95507581811398
10,1,0,+14,0.7494789389893413,227.20366328861564
10,1,0,0,0.8664194764569402,228.07008276507258
10,1,0,+14,0.8331904821097851,228.90327324718237
10,1,0,+14,0.816644137725234,229.7199173849076
10,1,0,+14,0.7663571760058403,230.48627456091344
10,1,0,+14,0.850075138732791,231.33634969964623
10,2,0,+12,0.6166667928919196,231.95301649253815
10,2,0,+12,0.5664798896759748,232.51949638221413
10,2,0,+12,0.6334223169833422,233.15291869919747
10,2,0,+12,0.5664481725543737,233.71936687175184
10,2,0,+12,0.5666403621435165,234.28600723389536
10,2,0,+12,0.5330692790448666,234.81907651294023
10,2,0,+12,0.5834249593317509,235.40250147227198
10,2,0,+12,0.6332346592098475,236.03573613148183
10,2,0,+12,0.5999830085784197,236.63571914006025
10,2,0,+12,0.5663851173594594,237.2021042574197
10,2,0,+12,0.5665735295042396,237.76867778692394
11,1,0,0,0.61621218547225,251.6007430786267
11,1,0,0,0.5497557055205107,252.1504987841472
11,1,0,0,0.983286764472723,253.13378554861993
11,1,0,0,0.7499233512207866,253.8837088998407
11,1,0,-32,0.6165625806897879,254.5002714805305
11,1,0,0,0.5499437404796481,255.05021522101015
11,1,0,0,1.0998972980305552,256.1501125190407
11,2,0,-3,0.8997877994552255,257.04990031849593
11,2,0,-3,1.0668423669412732,258.1167426854372
11,2,0,-3,1.1163771888241172,259.2331198742613
11,2,0,-3,0.6837406167760491,259.91686049103737
11,2,0,-3,0.7660313239321113,260.6828918149695
11,2,0,-3,0.6999433627352118,261.3828351777047
11,2,0,-3,0.6998893693089485,262.08272454701364
11,2,0,-3,0.7000049082562327,262.7827294552699
12,1,0,+30,0.8828910598531365,273.731561220251
12,1,0,+30,0.5663583092391491,274.2979195294902
12,1,0,+10,0.7999312803149223,275.0978508098051
12,1,0,+10,0.6664836658164859,275.7643344756216
12,1,0,+10,0.9331315793097019,276.6974660549313
12,1,0,+30,0.7502941358834505,277.44776019081473
12,1,0,+30,0.9331859508529305,278.38094614166766
12,1,0,+10,0.8332135146483779,279.21415965631604
12,1,0,+30,0.8166890693828464,280.0308487256989
12,1,0,+10,0.7998905014246702,280.83073922712356
12,2,0,+35,0.6163888927549124,281.44712811987847
12,2,0,+35,0.6333165941759944,282.08044471405447
12,2,0,+35,0.5497160591185093,282.630160773173
12,2,0,-10,0.9999358113855124,283.6300965845585
12,2,0,+35,0.6164742261171341,284.2465708106756
12,2,0,+35,0.9669171292334795,285.2134879399091
12,2,0,+35,0.5663424506783485,285.77983039058745
12,2,0,-10,1.0668295295909047,286.84665992017835
12,2,0,+35,0.9998576520010829,287.84651757217944
13,2,1,-20,0.49966810643672943,300.0614086026326
13,2,1,-20,0.600206914357841,300.6616155169904
13,2,1,-20,1.0665844799950719,301.7281999969855
13,2,1,+15,0.9998825723305345,302.72808256931603
13,2,1,-20,0.7499312795698643,303.4780138488859
13,2,1,+15,0.8164527043700218,304.2944665532559
13,2,1,-20,0.6499867849051952,304.9444533381611
13,2,1,+15,0.6663968218490481,305.61085016001016
13,1,1,-4,0.9832863882184029,306.59413654822856
13,1,1,-4,0.5997662767767906,307.19390282500535
13,1,1,-4,1.3001483893021941,308.49405121430755
13,1,1,-4,1.266683029010892,309.76073424331844
13,1,1,-4,0.5664224978536367,310.3271567411721
13,1,1,-4,0.917351346462965,311.24450808763504
13,1,1,-4,1.049134206958115,312.29364229459316
13,1,1,-4,0.5498999413102865,312.84354223590344
13,1,1,-4,1.0498036574572325,313.8933458933607
14,1,0,+12,1.3828162997961044,323.20910649280995
14,1,0,+12,1.233206340111792,324.44231283292174
14,1,0,+12,0.816317530348897,325.25863036327064
14,1,0,+25,0.5498905014246702,325.8085208646953
14,1,0,+12,0.6001672679558396,326.40868813265115
14,1,0,+12,0.8830685233697295,327.2917566560209
14,1,0,+12,0.7662548525258899,328.05801150854677
14,1,0,+12,0.6836688760668039,328.7416803846136
14,1,0,+12,0.8499297704547644,329.59161015506834
14,1,0,+25,1.1165146278217435,330.7081247828901
14,1,0,+25,1.1164806447923183,331.8246054276824
14,1,0,+12,1.0499229738488793,332.8745284015313
