TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,0.0,0.0370437,6.08176,6.04472,6.08207,9.11499,1.0,2.0,0.0,9.92804,0.813045,10.191,1.2245,0.886955,2.11146,10.2506,12.365
2,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,1.0,12.388,18.4471,6.05909,18.4474,21.4802,1.0,2.0,0.0,22.136,0.655824,10.048,1.2493,1.04418,2.29348,22.4378,24.7467
3,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,2.0,24.773,30.8291,6.05602,30.8293,33.862,1.0,2.0,0.0,34.816,0.953979,10.3429,2.3911,0.746021,3.13712,35.1205,38.2619
4,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,3.0,38.2889,44.3442,6.0553,44.3445,47.3773,1.0,1.0,1.0,47.904,0.526744,9.9151,1.1239,1.17326,2.29716,48.2201,50.527
5,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,4.0,50.5609,56.6262,6.06526,56.6264,59.6591,0.0,1.0,1.0,60.264,0.604911,10.0031,3.1912,1.09509,4.28629,60.5761,64.8756
6,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,5.0,64.8984,70.9577,6.05931,70.9579,73.9908,0.0,2.0,0.0,74.808,0.817182,10.2096,1.1622,0.882818,2.04502,75.1209,77.1739
7,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,6.0,77.2153,83.2728,6.05755,83.273,86.3058,1.0,1.0,0.0,86.84,0.53411,9.9247,2.5049,1.16589,3.67079,87.1735,90.8558
8,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,7.0,90.8837,96.9381,6.05447,96.9384,99.971,0.0,2.0,0.0,100.552,0.580905,9.96829,3.6229,1.11909,4.74199,100.881,105.637
9,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,8.0,105.668,111.703,6.03471,111.703,114.736,0.0,1.0,0.0,115.28,0.543708,9.91175,1.1342,1.15629,2.29049,115.599,117.903
10,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,9.0,117.926,123.985,6.05912,123.985,127.018,0.0,1.0,1.0,127.432,0.414422,9.80619,1.1584,1.28558,2.44398,127.748,130.201
11,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,10.0,130.228,136.284,6.05532,136.284,139.317,1.0,2.0,0.0,140.056,0.739425,10.1277,1.1188,0.960575,2.07938,140.362,142.45
12,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,11.0,142.484,148.549,6.0651,148.549,151.582,1.0,1.0,0.0,152.192,0.610035,10.0082,3.9403,1.08997,5.03027,152.505,157.548
13,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,12.0,157.575,163.614,6.03884,163.614,166.647,0.0,2.0,0.0,167.112,0.465179,9.83697,1.1057,1.23482,2.34052,167.47,169.813
14,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,13.0,169.845,175.895,6.04993,175.896,178.912,1.0,1.0,0.0,179.488,0.576032,9.94244,4.7413,1.12397,5.86527,179.796,185.678
15,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,14.0,185.704,191.76,6.05658,191.761,194.794,0.0,2.0,0.0,195.216,0.422318,9.81211,1.3975,1.27768,2.67518,195.54,198.227
16,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,15.0,198.255,204.292,6.03731,204.293,207.325,0.0,1.0,0.0,208.136,0.810731,10.181,3.4263,0.889269,4.31557,208.451,212.775
17,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,16.0,212.805,218.857,6.05244,218.857,221.89,1.0,1.0,0.0,222.32,0.429606,9.81514,1.7448,1.27039,3.01519,222.635,225.657
18,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,17.0,225.685,231.723,6.03746,231.723,234.756,1.0,2.0,0.0,235.48,0.724258,10.0948,1.1231,0.975742,2.09884,235.801,237.906
