TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,0.0,55.1222,61.1592,6.03701,61.1595,64.1923,0.0,NA,NA,NA,NA,2.0,1.3679,NA,1.3679,66.2036,67.5755
2,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,1.0,67.6009,73.6577,6.0568,73.658,76.6907,0.0,NA,NA,NA,NA,2.0,1.0587,NA,1.0587,78.7033,79.774
3,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,2.0,79.8044,85.8564,6.05203,85.8567,88.8893,0.0,1,0,89.7816517579,0.892393217306,10.2773,4.7413,0.807606782694,5.54891,90.1054,95.6555
4,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,3.0,95.683,101.738,6.0548,101.738,104.771,1.0,1,1,105.621626928,0.850827600691,10.2386,3.1912,0.849172399309,4.04037,105.922,109.97
5,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,4.0,109.997,116.053,6.05589,116.053,119.086,0.0,1,0,120.085627798,0.999790820177,10.3884,1.727,0.700209179823,2.42721,120.41,122.853
6,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,5.0,122.88,128.918,6.03833,128.918,131.951,0.0,2,0,132.637613326,0.686651646509,10.058,2.134,1.01334835349,3.14735,132.941,136.101
