TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.9,0.75,1,0.25,-5,10,RR4,20,15,13.75,14.5,RR,0.1,1.0,0.0,197.351,8.0,4.0,4.0,3.0,15.0,14.5067,211.858,211.859,214.891,1.0,NA,NA,NA,NA,2.0,2.134,0.493402,NA,2.6274,216.899,219.541
2,0.3,1,2,0,0,-2,MD2,2,9,2,1.3,MD,0.7,1.0,1.0,219.541,17.0,10.0,7.0,8.0,18.0,17.514,237.055,237.056,240.088,0.0,1,1,241.342986308,1.25507270126,22.1019,1.727,0.486035,0.444927298739,2.65796,241.651,244.321
3,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,2.0,244.321,16.0,7.0,9.0,8.0,15.0,14.6953,259.017,259.017,262.035,1.0,2,0,263.110909022,1.0756037231,19.0896,3.1912,0.304778,0.624396276904,4.12037,263.428,267.552
4,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,3.0,267.552,13.0,5.0,8.0,7.0,15.0,14.5143,282.066,282.067,285.099,1.0,2,0,286.534981146,1.43576315274,19.283,2.557,0.485779,0.264236847262,3.30702,286.845,290.165
5,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,4.0,290.166,23.0,10.0,13.0,10.0,20.0,19.5142,309.68,309.681,312.713,1.0,2,0,313.558846506,0.846018091398,23.6931,3.9403,0.485825,0.853981908602,5.28011,313.871,319.162
6,0.1,1,2,0,0,-5,MD1,-3,25,-3,-2,MD,0.9,1.0,5.0,319.163,18.0,8.0,10.0,9.0,16.0,15.6337,334.796,334.797,337.826,0.0,1,1,338.590942747,0.764558848017,19.7283,1.3679,0.366365,0.935441151983,2.66971,338.895,341.576
