TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,0.0,46.2602,52.3162,6.05601,52.3165,55.3492,1.0,NA,NA,NA,NA,2.0,1.727,NA,1.727,57.363,59.0993
2,0.3,1,2,0,0,-2,MD2,2,9,2,1.3,MD,0.7,1.0,1.0,59.1248,65.1646,6.03982,65.1648,68.1977,0.0,2,0,69.0789562911,0.881245940924,10.2542,1.3679,0.818754059076,2.18665,69.4059,71.5978
3,0.9,0.75,1,0.25,-5,10,RR4,20,15,13.75,14.5,RR,0.1,1.0,2.0,71.6288,77.6466,6.01783,77.6469,80.6795,1.0,1,0,81.5350175947,0.855517210439,10.2062,1.3975,0.844482789561,2.24198,81.8578,84.1127
4,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,3.0,84.1436,90.1951,6.05156,90.1954,93.2281,0.0,2,0,94.0150077026,0.786897948012,10.1714,1.1749,0.913102051988,2.088,94.3383,96.428
5,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,4.0,96.4548,102.51,6.05557,102.511,105.543,1.0,2,0,106.550907703,1.00743947364,10.3961,1.0587,0.692560526356,1.75126,106.853,108.61
6,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,5.0,108.644,114.692,6.04827,114.692,117.725,0.0,2,0,118.551023243,0.825656235218,10.2074,2.3911,0.874343764782,3.26544,118.864,122.142
