TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,0.0,0.0277326,6.0785,6.05077,6.07882,9.11158,0.0,1.0,1.0,9.58386,0.472273,9.85612,4.3408,1.22773,5.56853,9.90042,15.478
2,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,1.0,15.5024,21.5603,6.0579,21.5605,24.5928,1.0,2.0,0.0,24.7839,0.191143,9.58156,1.783,1.50886,3.29186,25.0946,28.3931
3,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,2.0,28.4301,34.4919,6.0618,34.4922,37.525,1.0,1.0,0.0,37.5439,0.0188987,9.41382,1.1412,1.6811,2.8223,37.863,40.6917
4,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,3.0,40.7194,46.7738,6.05437,46.774,49.8069,0.0,2.0,1.0,50.1358,0.328882,9.71643,2.5659,1.37112,3.93702,50.4499,54.3894
5,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,4.0,54.42,60.4723,6.05229,60.4725,63.5054,1.0,2.0,1.0,64.6559,1.15051,10.536,1.6301,0.549489,2.17959,64.9725,67.1549
6,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,5.0,67.1914,73.2542,6.06285,73.2545,76.287,0.0,2.0,0.0,76.536,0.248965,9.64459,1.0825,1.45103,2.53353,76.8561,79.4036
7,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,6.0,79.4336,85.4693,6.03572,85.4696,88.5022,0.0,2.0,1.0,88.7758,0.273641,9.64218,2.1542,1.42636,3.58056,89.1042,92.6857
8,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,7.0,92.7151,98.7511,6.03599,98.7514,101.784,1.0,2.0,0.0,102.048,0.263711,9.63275,1.8199,1.43629,3.25619,102.367,105.634
9,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,8.0,105.654,111.716,6.06188,111.716,114.749,0.0,1.0,1.0,115.0,0.250379,9.6454,2.2412,1.44962,3.69082,115.317,119.016
10,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,9.0,119.048,125.081,6.03295,125.082,128.114,0.0,1.0,1.0,128.312,0.197484,9.56346,1.4355,1.50252,2.93802,128.631,131.581
11,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,10.0,131.604,137.663,6.05955,137.664,140.696,0.0,1.0,1.0,140.984,0.287269,9.67991,3.1124,1.41273,4.52513,141.303,145.829
12,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,11.0,145.86,151.878,6.01874,151.879,154.911,0.0,1.0,1.0,155.384,0.472469,9.82405,1.0075,1.22753,2.23503,155.71,157.961
13,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,12.0,157.987,164.027,6.03983,164.027,167.06,1.0,2.0,0.0,167.376,0.315802,9.68874,1.61,1.3842,2.9942,167.733,170.743
14,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,13.0,170.767,176.825,6.05801,176.826,179.858,0.0,2.0,0.0,180.12,0.261438,9.65249,1.5139,1.43856,2.95246,180.436,183.392
15,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,14.0,183.418,189.457,6.03866,189.457,192.49,0.0,2.0,0.0,192.808,0.317719,9.68936,1.1604,1.38228,2.54268,193.121,195.673
16,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,15.0,195.702,201.739,6.03794,201.74,204.772,1.0,2.0,0.0,205.096,0.32355,9.69416,1.2245,1.37645,2.60095,205.414,208.022
17,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,16.0,208.051,214.088,6.03685,214.088,217.121,0.0,2.0,1.0,217.16,0.0389607,9.40884,1.5147,1.66104,3.17574,217.474,220.654
18,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,17.0,220.681,226.736,6.05512,226.736,229.769,1.0,2.0,0.0,229.984,0.214458,9.6028,1.2203,1.48554,2.70584,230.298,233.019
