TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,0.0,0.0397959,6.09562,6.05582,6.09594,9.12871,0.0,1.0,1.0,9.35228,0.223573,9.61249,3.1912,1.47643,4.66763,9.68519,14.362
2,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,1.0,14.3901,20.4274,6.03731,20.4277,23.4605,1.0,1.0,1.0,23.7441,0.283602,9.65399,2.3911,1.4164,3.8075,24.0644,27.8768
3,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,2.0,27.9061,33.9421,6.03594,33.9423,36.9756,1.0,1.0,1.0,37.1681,0.192587,9.56201,3.4263,1.50741,4.93371,37.4838,42.4251
4,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,3.0,42.4684,48.5075,6.03908,48.5077,51.54,0.0,1.0,0.0,51.8881,0.348129,9.71972,1.2245,1.35187,2.57637,52.2127,54.7904
5,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,4.0,54.8158,60.856,6.04016,60.8562,63.8889,1.0,2.0,0.0,64.1361,0.247173,9.62031,1.1188,1.45283,2.57163,64.4527,67.0388
6,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,5.0,67.0606,73.121,6.06032,73.1212,76.1542,0.0,2.0,0.0,76.408,0.253755,9.64732,1.1239,1.44624,2.57014,76.7313,79.3042
7,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,6.0,79.3312,85.3863,6.05511,85.3865,88.4194,0.0,1.0,1.0,88.808,0.388559,9.7768,4.7413,1.31144,6.05274,89.1364,95.2023
8,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,7.0,95.2265,101.285,6.05801,101.285,104.318,1.0,1.0,1.0,104.632,0.314342,9.70544,1.7448,1.38566,3.13046,104.954,108.101
9,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,8.0,108.136,114.2,6.06353,114.2,117.233,0.0,1.0,0.0,118.088,0.85529,10.2516,1.2493,0.84471,2.09401,118.414,120.516
10,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,9.0,120.55,126.615,6.06483,126.615,129.648,0.0,1.0,0.0,130.832,1.18421,10.5818,1.3975,0.515789,1.91329,131.145,133.064
11,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,10.0,133.093,139.147,6.05413,139.147,142.18,0.0,1.0,1.0,142.744,0.563961,9.95109,3.9403,1.13604,5.07634,143.058,148.146
12,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,11.0,148.18,154.229,6.04869,154.229,157.261,0.0,1.0,0.0,157.456,0.194819,9.57617,1.1622,1.50518,2.66738,157.771,160.445
13,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,12.0,160.473,166.527,6.054,166.573,169.56,1.0,1.0,0.0,169.888,0.327874,9.71489,1.1584,1.37213,2.53053,170.201,172.743
14,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,13.0,172.772,178.809,6.03737,178.809,181.842,0.0,2.0,0.0,182.296,0.453919,9.82424,1.1057,1.24608,2.35178,182.619,184.975
15,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,14.0,184.997,191.041,6.04428,191.041,194.074,0.0,1.0,1.0,194.416,0.342326,9.7193,1.1342,1.35767,2.49187,194.741,197.24
16,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,15.0,197.277,203.339,6.06219,203.339,206.372,1.0,2.0,1.0,207.656,1.28357,10.679,2.5049,0.416429,2.92133,207.976,210.905
17,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,16.0,210.929,216.971,6.04237,216.971,220.004,0.0,1.0,1.0,220.576,0.571883,9.9471,3.6229,1.12812,4.75102,220.892,225.654
18,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,17.0,225.685,231.736,6.05139,231.736,234.769,1.0,1.0,0.0,235.008,0.238824,9.62307,1.1231,1.46118,2.58428,235.322,237.919
