TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,0.0,4.26519,16.0,8.0,8.0,15.0,16.0,15.694,19.9592,19.9599,22.9852,1.0,2.0,0.0,23.4328079224,0.4476531744,19.4676,2.3911,0.306121,1.25234687328,3.94957,23.9487,27.9018
2,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,1.0,27.9021,22.0,11.0,11.0,17.0,18.0,17.5515,45.4536,45.4541,48.4822,1.0,1.0,1.0,48.8407592773,0.358517318964,21.2386,2.5575,0.448619,1.34148263931,4.3476,49.3493,53.6985
3,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,2.0,53.6988,20.0,11.0,9.0,2.0,15.0,14.6715,68.3704,68.3709,71.3962,1.0,1.0,0.0,71.7607421875,0.364497065544,18.3619,1.1477,0.32855,1.33550298214,2.81175,72.2822,75.0961
4,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,3.0,75.0964,23.0,12.0,11.0,20.0,16.0,15.5144,90.6108,90.6113,93.6436,1.0,2.0,0.0,94.1846847534,0.541046202183,19.3883,1.2853,0.485674,1.1589537859,2.92993,94.6987,97.6435
5,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,4.0,97.6439,23.0,11.0,12.0,22.0,16.0,15.8263,113.47,113.471,116.491,1.0,2.0,0.0,117.000785828,0.509961903095,19.6569,1.2297,0.173775,1.19003808498,2.59351,117.523,120.124
6,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,5.0,120.125,14.0,7.0,7.0,13.0,15.0,14.8568,134.981,134.982,138.005,0.0,1.0,0.0,138.416656494,0.411562502384,18.5921,1.0113,0.143248,1.28843748569,2.44299,138.926,141.372
7,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,6.0,141.372,20.0,10.0,10.0,19.0,15.0,15.0285,156.401,156.401,159.419,1.0,1.0,1.0,159.744674683,0.325403124094,18.6726,4.6191,-0.0284031,1.37459683418,5.96529,160.265,166.235
8,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,7.0,166.236,23.0,13.0,10.0,19.0,17.0,16.893,183.129,183.129,186.15,0.0,2.0,1.0,186.760559082,0.611032664776,20.8248,1.3267,0.107024,1.0889673233,2.52269,187.276,189.816
9,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,8.0,189.816,20.0,10.0,10.0,7.0,17.0,16.6671,206.483,206.484,209.513,1.0,2.0,0.0,209.896530151,0.383118599653,20.3802,1.8808,0.332936,1.31688141823,3.53062,210.41,213.947
10,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,9.0,213.947,21.0,11.0,10.0,18.0,18.0,17.5141,231.461,231.462,234.494,1.0,1.0,1.0,235.560531616,1.06661951542,21.9136,3.6695,0.485969,0.633380413055,4.78885,236.077,240.877
