TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,0.0,0.0371252,6.08972,6.05259,6.09003,9.12282,0.0,1.0,0.0,9.43199,0.309168,9.69487,2.1542,1.39083,3.54503,9.75419,13.306
2,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,1.0,13.3371,19.3881,6.05102,19.3884,22.4213,1.0,1.0,1.0,22.848,0.426722,9.81085,1.4355,1.27328,2.70878,23.173,25.8878
3,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,2.0,25.917,31.9701,6.05301,31.9703,35.0031,1.0,2.0,1.0,35.2799,0.276793,9.66285,1.61,1.42321,3.03321,35.5932,38.6363
4,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,3.0,38.6652,44.7187,6.05346,44.7189,47.7517,0.0,2.0,0.0,48.1919,0.440235,9.82673,2.5659,1.25976,3.82566,48.5136,52.3513
5,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,4.0,52.3781,58.4336,6.05552,58.4339,61.4667,0.0,1.0,1.0,61.7998,0.33311,9.72173,1.8199,1.36689,3.18679,62.1157,65.3165
6,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,5.0,65.34,71.3987,6.05868,71.399,74.4318,0.0,1.0,1.0,75.5919,1.16007,10.5519,4.3408,0.539927,4.88073,75.9104,80.798
7,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,6.0,80.8278,86.8804,6.05254,86.8806,89.9133,1.0,1.0,1.0,90.3519,0.438572,9.82407,3.1124,1.26143,4.37383,90.6749,95.063
8,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,7.0,95.0879,101.145,6.05748,101.146,104.178,1.0,1.0,1.0,104.656,0.477531,9.86807,1.1412,1.22247,2.36367,104.967,107.345
9,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,8.0,107.374,113.427,6.05359,113.428,116.46,0.0,1.0,0.0,116.848,0.387593,9.77414,1.0075,1.31241,2.31991,117.169,119.493
10,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,9.0,119.52,125.576,6.05602,125.576,128.609,1.0,2.0,0.0,128.968,0.358997,9.748,1.2203,1.341,2.5613,129.289,131.859
11,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,10.0,131.895,137.957,6.06284,137.958,140.991,1.0,2.0,1.0,141.368,0.377066,9.77322,1.5139,1.32293,2.83683,141.696,144.541
12,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,11.0,144.566,150.623,6.05712,150.623,153.656,0.0,2.0,0.0,154.0,0.343965,9.73412,1.6301,1.35603,2.98613,154.314,157.306
13,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,12.0,157.336,163.388,6.05239,163.388,166.421,0.0,2.0,1.0,166.704,0.282787,9.66813,1.1604,1.41721,2.57761,167.018,169.604
14,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,13.0,169.631,175.687,6.0556,175.687,178.72,0.0,2.0,0.0,179.072,0.352074,9.74073,1.5147,1.34793,2.86263,179.388,182.253
15,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,14.0,182.287,188.352,6.06526,188.352,191.385,1.0,2.0,1.0,192.4,1.0149,10.4132,1.783,0.685097,2.4681,192.717,195.202
16,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,15.0,195.232,201.284,6.05187,201.284,204.317,0.0,1.0,0.0,204.6,0.283051,9.66798,1.2245,1.41695,2.64145,204.918,207.567
17,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,16.0,207.595,213.649,6.05426,213.649,216.682,1.0,2.0,1.0,217.064,0.381973,9.76909,1.0825,1.31803,2.40053,217.386,219.798
18,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,17.0,219.827,225.881,6.05381,225.881,228.914,0.0,1.0,1.0,229.24,0.325826,9.71263,2.2412,1.37417,3.61537,229.55,233.18
