TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,0.0,7.77908,14.0,8.0,6.0,2.0,15.0,14.6819,22.4609,22.4619,25.4687,0.0,1.0,1.0,25.882,0.413255,18.4029,1.8808,0.318281,1.28675,3.48583,26.3907,29.8776
2,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,1.0,29.8781,21.0,11.0,10.0,2.0,19.0,18.5008,48.3788,48.3795,51.3848,1.0,1.0,1.0,51.7449,0.360134,22.1668,1.4411,0.49935,1.33987,3.28032,52.2529,55.536
3,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,2.0,55.5364,19.0,9.0,10.0,1.0,15.0,14.5013,70.0377,70.0384,73.0478,0.0,2.0,0.0,73.3519,0.304113,18.1156,1.0098,0.498761,1.39589,2.90445,73.8613,76.7676
4,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,3.0,76.768,23.0,16.0,7.0,2.0,16.0,15.5018,92.2698,92.2706,95.2789,0.0,2.0,0.0,96.9509,1.67203,20.4829,1.0113,0.498332,0.0279719,1.5376,97.4592,98.9999
5,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,4.0,99.0003,13.0,10.0,3.0,1.0,19.0,18.5036,117.504,117.505,120.511,1.0,1.0,0.0,120.982,0.470938,22.2816,1.3267,0.496491,1.22906,3.05225,121.491,124.545
6,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,5.0,124.546,13.0,10.0,3.0,1.0,16.0,15.5021,140.048,140.049,143.057,1.0,1.0,0.0,143.413,0.356361,19.1671,1.1749,0.498033,1.34364,3.01657,143.922,146.94
7,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,6.0,146.94,21.0,10.0,11.0,1.0,16.0,15.5009,162.441,162.442,165.447,0.0,2.0,0.0,165.98,0.532889,19.34,1.5734,0.499165,1.16711,3.23968,166.488,169.729
8,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,7.0,169.73,21.0,11.0,10.0,1.0,18.0,17.5035,187.233,187.234,190.241,0.0,2.0,0.0,190.851,0.609766,21.4212,1.1477,0.496602,1.09023,2.73454,191.361,194.099
9,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,8.0,194.099,16.0,11.0,5.0,1.0,15.0,14.5044,208.604,208.604,211.617,1.0,1.0,0.0,212.898,1.28073,19.0988,2.3911,0.495676,0.419268,3.30604,213.409,216.719
10,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,9.0,216.719,21.0,11.0,10.0,1.0,15.0,14.506,231.225,231.226,234.23,0.0,1.0,0.0,234.553,0.323409,18.134,3.6695,0.494059,1.37659,5.54015,235.062,240.606
11,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,10.0,240.607,13.0,10.0,3.0,1.0,16.0,15.5022,256.109,256.109,259.118,1.0,1.0,0.0,259.44,0.322266,19.1334,5.0846,0.497946,1.37773,6.96028,259.949,266.912
