TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,0.0,6.51437,9.0,4.0,5.0,1.0,15.0,14.5037,21.018,21.019,24.026,0.0,1.0,1.0,25.1532917023,1.12730312347,18.9389,1.5966,0.49649,0.57269692421,2.66579,25.6625,28.333
2,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,1.0,28.3334,21.0,17.0,4.0,1.0,19.0,18.5009,46.8343,46.835,49.8409,1.0,1.0,1.0,50.2642173767,0.423319101334,22.2308,4.653,0.499184,1.27668094635,6.42886,50.772,57.2019
3,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,2.0,57.2023,13.0,4.0,9.0,1.0,15.0,14.5036,71.7059,71.7067,74.7156,0.0,1.0,0.0,75.1031112671,0.387545466423,18.2008,1.0098,0.496487,1.31245458126,2.81874,75.6125,78.4346
4,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,3.0,78.4349,9.0,3.0,6.0,1.0,16.0,15.502,93.937,93.9377,96.9448,0.0,1.0,0.0,97.3020935059,0.357267439365,19.1672,2.2012,0.498052,1.34273254871,4.04198,97.8125,101.86
5,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,4.0,101.86,17.0,10.0,7.0,1.0,19.0,18.5014,120.362,120.363,123.367,1.0,1.0,0.0,123.716941833,0.349789828062,22.1565,5.4629,0.498727,1.35021018982,7.31184,124.227,131.545
6,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,5.0,131.545,8.0,3.0,5.0,1.0,16.0,15.5035,147.049,147.049,150.053,1.0,2.0,0.0,150.507888794,0.454556852579,19.2627,2.274,0.496657,1.2454431057,4.0161,151.019,155.037
7,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,6.0,155.037,19.0,10.0,9.0,1.0,16.0,15.507,170.544,170.545,173.552,0.0,2.0,0.0,174.010848999,0.458929151297,19.2738,1.0587,0.493076,1.24107086658,2.79285,174.521,177.316
8,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,7.0,177.317,19.0,10.0,9.0,1.0,18.0,17.5025,194.819,194.82,197.828,0.0,1.0,1.0,198.241790771,0.41366481781,21.2251,1.7267,0.497571,1.28633522987,3.51061,198.751,202.264
9,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,8.0,202.264,15.0,7.0,8.0,1.0,15.0,14.502,216.766,216.767,219.776,1.0,2.0,0.0,220.248886108,0.472688257694,18.2849,1.3248,0.498059,1.22731173038,3.05017,220.758,223.811
10,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,9.0,223.812,20.0,10.0,10.0,1.0,15.0,14.5025,238.314,238.315,241.322,0.0,2.0,0.0,242.07194519,0.750343322754,18.5602,1.8631,0.497596,0.949656665325,3.31035,242.582,245.894
11,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,10.0,245.894,20.0,10.0,10.0,1.0,16.0,15.5038,261.398,261.399,264.405,1.0,2.0,0.0,264.822967529,0.417895615101,19.2287,5.4629,0.496319,1.28210437298,7.24132,265.331,272.574
12,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,11.0,272.574,19.0,10.0,9.0,1.0,18.0,17.5039,290.078,290.079,293.086,1.0,2.0,0.0,293.525726318,0.439419090748,21.2514,1.048,0.496166,1.26058089733,2.80475,294.033,296.841
13,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,12.0,296.842,17.0,10.0,7.0,1.0,18.0,17.5018,314.343,314.344,317.352,1.0,1.0,0.0,317.700714111,0.348752975464,21.1591,2.4102,0.498305,1.35124707222,4.25975,318.21,322.473
14,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,13.0,322.474,20.0,10.0,10.0,1.0,17.0,16.5026,338.976,338.977,341.983,1.0,1.0,1.0,342.419647217,0.436751037836,20.2461,1.233,0.497511,1.26324892044,2.99376,342.929,345.926
15,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,14.0,345.926,17.0,10.0,7.0,1.0,15.0,14.5004,360.427,360.427,363.434,0.0,1.0,1.0,363.778717041,0.344926774502,18.1526,1.2135,0.499682,1.35507321358,3.06826,364.287,367.356
16,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,15.0,367.356,19.0,8.0,11.0,2.0,15.0,14.9399,382.296,382.297,385.303,0.0,1.0,0.0,386.145843506,0.843304634094,19.0895,1.3679,0.0602065,0.856695413589,2.2848,386.656,388.943
17,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,16.0,388.943,12.0,5.0,7.0,1.0,17.0,16.5057,405.449,405.45,408.455,0.0,NA,NA,NA,NA,2.0,1.2377,0.494372,NA,1.73207,410.463,412.198
18,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,17.0,412.199,22.0,15.0,7.0,2.0,15.0,14.5356,426.734,426.735,429.741,0.0,2,0,430.119855959,0.378791827534,18.2213,1.4961,0.464543,1.32120817247,3.28185,430.631,433.913
