TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,0.0,0.0311345,6.07138,6.04025,6.0717,9.10422,0.0,2.0,0.0,10.359919548,1.25570368767,10.6288,1.783,0.444296360016,2.2273,10.678,12.9211
2,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,1.0,12.9496,19.003,6.05336,19.0032,22.0359,1.0,1.0,0.0,22.3839168549,0.34798926115,9.73429,1.1412,1.35201072693,2.49321,22.7005,25.2028
3,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,2.0,25.2345,31.2683,6.03382,31.2685,34.3013,0.0,1.0,0.0,34.8318557739,0.53052341938,9.89738,1.2203,1.1694766283,2.38978,35.1496,37.5514
4,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,3.0,37.5777,43.6335,6.05576,43.6337,46.6666,0.0,1.0,1.0,47.0159034729,0.349304735661,9.73818,2.1542,1.35069525242,3.5049,47.3307,50.85
5,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,4.0,50.878,56.9152,6.03712,56.9154,59.9483,0.0,1.0,0.0,60.6479072571,0.699627816677,10.0699,1.2245,1.0003721714,2.22487,60.9641,63.1983
6,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,5.0,63.2257,69.2807,6.05505,69.2809,72.3134,1.0,1.0,1.0,72.9279022217,0.614538908005,10.0022,3.1124,1.08546113968,4.19786,73.244,77.447
7,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,6.0,77.472,83.5291,6.05711,83.5293,86.5618,0.0,2.0,0.0,87.5038909912,0.942073464394,10.3319,1.8199,0.757926523685,2.57783,87.8193,90.4119
8,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,7.0,90.433,96.494,6.06101,96.4943,99.5272,0.0,1.0,1.0,99.9200286865,0.392831861973,9.78701,1.0075,1.30716812611,2.31467,100.236,102.56
9,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,8.0,102.582,108.643,6.06072,108.643,111.676,0.0,2.0,0.0,112.095817566,0.420058071613,9.81393,1.61,1.27994191647,2.88994,112.41,115.309
10,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,9.0,115.337,121.375,6.03735,121.375,124.408,0.0,1.0,0.0,125.223831177,0.816126167774,10.1865,1.0825,0.883873820305,1.96637,125.541,127.524
11,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,10.0,127.552,133.606,6.05405,133.607,136.64,0.0,2.0,0.0,137.07975769,0.440182745457,9.82735,2.2412,1.25981724262,3.50102,137.395,140.906
12,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,11.0,140.931,146.972,6.04094,146.972,150.005,0.0,2.0,0.0,150.295898438,0.291141092777,9.66487,2.5659,1.4088588953,3.97476,150.612,154.587
13,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,12.0,154.612,160.67,6.0577,160.67,163.703,0.0,2.0,0.0,165.063842773,1.3605158329,10.7515,1.1604,0.339484125376,1.49988,165.379,166.886
14,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,13.0,166.957,173.018,6.06173,173.019,176.052,0.0,NA,NA,NA,NA,2.0,4.3408,NA,4.3408,178.065,182.417
15,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,14.0,182.446,188.483,6.03735,188.484,191.516,1.0,2,0,191.847702101,0.331413084175,9.7017,1.5139,1.36858691582,2.88249,192.163,195.05
16,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,15.0,195.073,201.115,6.04211,201.115,204.148,1.0,1,1,204.431660362,0.283446752233,9.65862,1.4355,1.41655324777,2.85205,204.747,207.615
17,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,16.0,207.64,213.697,6.05744,213.697,216.73,0.0,1,1,217.095647213,0.365369287087,9.75613,1.5147,1.33463071291,2.84933,217.411,220.263
18,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,17.0,220.289,226.313,6.02371,226.313,229.346,1.0,1,0,230.479638399,1.13409360452,10.4908,1.6301,0.565906395484,2.19601,230.796,232.995
