TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,0.0,4.57459,19.0,9.0,10.0,17.0,19.0,18.6789,23.2535,23.2543,26.2866,0.0,2.0,0.0,26.7823,0.495758,22.5077,1.5734,0.321205,1.20424,3.09885,27.2924,30.4033
2,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,1.0,30.4036,16.0,8.0,8.0,15.0,15.0,14.8647,45.2684,45.2689,48.3008,0.0,1.0,1.0,48.6703,0.369485,18.5667,1.2853,0.135343,1.33052,2.75116,49.1808,51.9339
3,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,2.0,51.9343,22.0,10.0,12.0,20.0,18.0,17.5143,69.4486,69.4491,72.4816,1.0,2.0,0.0,72.7903,0.30877,21.156,1.4411,0.485817,1.39123,3.31815,73.3015,76.6312
4,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,3.0,76.6315,19.0,9.0,10.0,18.0,17.0,16.5652,93.1967,93.1972,96.2288,1.0,2.0,0.0,96.5903,0.361576,20.2588,1.0098,0.434881,1.33842,2.7831,97.1041,99.8952
5,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,4.0,99.8955,17.0,9.0,8.0,16.0,18.0,17.5143,117.41,117.41,120.442,0.0,1.0,1.0,120.926,0.483783,21.3308,2.3911,0.485737,1.21622,4.09305,121.437,125.542
6,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,5.0,125.543,9.0,4.0,5.0,8.0,16.0,15.5143,141.057,141.057,144.09,0.0,1.0,0.0,144.462,0.37258,19.2197,1.0113,0.485801,1.32742,2.82452,144.976,147.806
7,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,6.0,147.807,14.0,7.0,7.0,13.0,15.0,14.5145,162.321,162.322,165.354,1.0,1.0,0.0,165.662,0.30827,18.1556,1.8808,0.485609,1.39173,3.75814,166.175,169.937
8,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,7.0,169.937,13.0,6.0,7.0,12.0,17.0,16.5145,186.452,186.452,189.484,0.0,1.0,0.0,189.806,0.321735,20.1689,1.2297,0.485596,1.37827,3.09356,190.317,193.418
9,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,8.0,193.418,17.0,9.0,8.0,15.0,16.0,15.5138,208.932,208.933,211.965,1.0,1.0,0.0,212.318,0.353045,19.1999,1.3267,0.486321,1.34696,3.15998,212.829,215.999
10,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,9.0,215.999,19.0,10.0,9.0,18.0,16.0,16.0316,232.03,232.031,235.063,0.0,2.0,0.0,235.366,0.303606,19.6673,2.5575,-0.0315408,1.39639,3.92235,235.876,239.812
11,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,10.0,239.813,23.0,12.0,11.0,22.0,19.0,18.5477,258.36,258.361,261.393,0.0,2.0,0.0,262.166,0.773293,22.6533,1.0887,0.452397,0.926707,2.4678,262.679,265.159
12,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,11.0,265.16,12.0,6.0,6.0,11.0,17.0,16.5143,281.674,281.674,284.707,1.0,1.0,1.0,285.046,0.339295,20.1865,5.0846,0.485737,1.3607,6.93104,285.558,292.506
13,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,12.0,292.506,16.0,8.0,8.0,15.0,15.0,14.5143,307.021,307.021,310.054,0.0,1.0,1.0,310.382,0.328166,18.1757,4.6191,0.485795,1.37183,6.47673,310.894,317.386
