TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,0.0,5.54372,6.0,3.0,3.0,1.0,15.0,14.5012,20.0449,20.0457,23.0777,1.0,2.0,0.0,24.3913822174,1.31369519234,19.1477,2.557,0.498953,0.38630476594,3.44226,24.7115,28.1611
2,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,1.0,28.1614,10.0,6.0,4.0,5.0,16.0,15.514,43.6754,43.6759,46.7083,0.0,2.0,1.0,47.9195251465,1.21119904518,20.0581,1.1749,0.48608,0.488800942898,2.14978,48.2307,50.392
3,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,2.0,50.3923,12.0,4.0,8.0,2.0,15.0,14.514,64.9063,64.9069,67.9392,1.0,2.0,0.0,68.4794082642,0.540189325809,18.3871,2.134,0.486068,1.15981066227,3.77988,68.7882,72.5723
4,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,3.0,72.5726,15.0,6.0,9.0,1.0,18.0,17.6113,90.1839,90.1844,93.203,0.0,NA,NA,NA,NA,2.0,1.0587,0.388722,NA,1.44742,95.2098,96.6695
5,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,4.0,96.6698,36.0,11.0,25.0,3.0,20.0,19.8259,116.496,116.496,119.516,0.0,2,0,120.055434141,0.539065638557,23.6856,1.3679,0.174132,1.16093436144,2.70297,120.374,123.083
6,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,5.0,123.083,27.0,11.0,16.0,4.0,15.0,14.7702,137.854,137.854,140.881,1.0,1,1,141.215378486,0.334566762671,18.432,1.3975,0.229845,1.36543323733,2.99278,141.527,144.531
