TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,0.0,165.348,9.0,3.0,6.0,3.0,16.0,15.51,180.858,180.858,183.89,0.0,2.0,0.0,185.555,1.66484,20.5076,2.134,0.490147,0.0351587,2.65931,185.862,188.524
2,0.1,1,2,0,0,-5,MD1,-3,25,-3,-2,MD,0.9,1.0,1.0,188.524,11.0,4.0,7.0,5.0,15.0,14.5143,203.038,203.039,206.071,0.0,1.0,1.0,206.579,0.508135,18.3553,1.3679,0.485756,1.19186,3.04552,206.888,209.938
3,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,2.0,209.938,13.0,5.0,8.0,6.0,15.0,14.5145,224.452,224.453,227.485,0.0,2.0,0.0,228.219,0.733801,18.5812,4.7413,0.485519,0.966199,6.19302,228.524,234.718
4,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,3.0,234.719,18.0,4.0,14.0,6.0,20.0,19.5139,254.232,254.233,257.265,1.0,2.0,0.0,257.803,0.53789,23.3846,1.0587,0.486173,1.16211,2.70698,258.113,260.832
5,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,4.0,260.832,19.0,8.0,11.0,12.0,18.0,17.5142,278.346,278.347,281.379,0.0,1.0,0.0,282.691,1.31209,22.1592,1.233,0.485848,0.387905,2.10675,282.996,285.112
6,0.9,0.75,1,0.25,-5,10,RR4,20,15,13.75,14.5,RR,0.1,1.0,5.0,285.112,16.0,6.0,10.0,8.0,15.0,14.6547,299.767,299.767,302.793,0.0,1.0,0.0,303.299,0.505796,18.487,2.3911,0.345316,1.1942,3.93062,303.616,307.56
