TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,0.0,5.95621,18.0,13.0,5.0,6.0,16.0,15.5098,21.4661,21.4668,24.499,0.0,1.0,1.0,25.1319,0.632898,19.4757,4.6191,0.490278,1.0671,6.17648,25.6443,31.8319
2,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,1.0,31.8322,21.0,13.0,8.0,6.0,16.0,15.9256,47.7578,47.7583,50.7793,0.0,1.0,1.0,52.7,1.92068,21.1678,2.3911,0.0745152,-0.220678,2.24494,53.2159,55.4626
3,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,2.0,55.4629,22.0,7.0,15.0,11.0,18.0,17.8514,73.3143,73.3148,76.3429,1.0,1.0,0.0,76.98,0.63702,21.8171,5.0846,0.148683,1.06298,6.29626,77.4922,83.7925
4,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,3.0,83.7928,18.0,6.0,12.0,9.0,15.0,14.6876,98.4803,98.481,101.507,0.0,1.0,1.0,102.1,0.593261,18.6072,1.8808,0.312489,1.10674,3.30003,102.61,105.923
5,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,4.0,105.923,26.0,11.0,15.0,10.0,19.0,18.754,124.677,124.678,127.704,1.0,2.0,0.0,128.172,0.468204,22.5484,1.0113,0.246032,1.2318,2.48913,128.682,131.187
6,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,5.0,131.187,20.0,4.0,16.0,7.0,15.0,14.6412,145.828,145.829,148.851,1.0,1.0,0.0,149.228,0.376832,18.3405,1.2297,0.358922,1.32317,2.91179,149.74,152.668
7,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,6.0,152.668,18.0,14.0,4.0,7.0,15.0,15.0148,167.683,167.683,170.715,1.0,1.0,1.0,171.124,0.408448,18.7557,1.0887,-0.0147332,1.29155,2.36552,171.642,174.015
8,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,7.0,174.016,20.0,5.0,15.0,5.0,17.0,16.5139,190.53,190.53,193.563,0.0,1.0,0.0,194.276,0.713095,20.5599,1.1477,0.486138,0.986905,2.62074,194.793,197.429
9,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,8.0,197.43,17.0,4.0,13.0,4.0,15.0,14.8209,212.251,212.251,215.277,1.0,1.0,1.0,215.892,0.614953,18.7621,1.5734,0.179148,1.08505,2.83759,216.412,219.26
10,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,9.0,219.26,21.0,4.0,17.0,7.0,16.0,15.7663,235.026,235.027,238.057,1.0,2.0,1.0,239.708,1.65026,20.7475,3.6695,0.233795,0.0497356,3.95303,240.219,244.174
