TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,0.0,7.68397,13.0,7.0,6.0,11.0,17.0,16.5078,24.1918,24.1926,27.2249,1.0,1.0,0.0,28.0596752167,0.834735631943,20.6757,1.5734,0.492318,0.865264415741,2.93098,28.5696,31.5082
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,31.5085,14.0,7.0,7.0,9.0,15.0,14.9983,46.5068,46.5073,49.5385,0.0,1.0,0.0,50.2035255432,0.665027439594,18.995,2.5575,0.00177199,1.03497254848,3.59424,50.7153,54.3217
3,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,2.0,54.322,15.0,5.0,10.0,8.0,15.0,14.5145,68.8366,68.8371,71.8694,0.0,1.0,1.0,72.2836685181,0.414236158133,18.2616,4.6191,0.485531,1.28576385975,6.3904,72.7964,79.2022
4,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,3.0,79.2025,13.0,7.0,6.0,12.0,17.0,16.5145,95.7169,95.7175,98.7496,0.0,1.0,1.0,99.5074310303,0.757879853249,20.605,2.3911,0.485612,0.942120194435,3.81883,100.018,103.849
5,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,4.0,103.85,19.0,10.0,9.0,17.0,16.0,15.9984,119.848,119.849,122.88,0.0,1.0,1.0,123.379379272,0.49900752306,19.8297,1.1477,0.00163115,1.20099246502,2.35032,123.891,126.247
6,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,5.0,126.248,20.0,10.0,10.0,19.0,16.0,15.9319,142.179,142.18,145.211,1.0,1.0,1.0,146.563369751,1.35252511501,20.6158,1.2297,0.0681756,0.347474873066,1.64535,147.074,148.728
7,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,6.0,148.728,17.0,8.0,9.0,16.0,15.0,14.6482,163.376,163.377,166.409,1.0,1.0,1.0,167.179382324,0.770773053169,18.7514,1.0887,0.351835,0.92922693491,2.36976,167.69,170.075
8,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,7.0,170.075,18.0,9.0,9.0,17.0,16.0,15.5981,185.674,185.674,188.706,1.0,1.0,1.0,189.595352173,0.889618456364,19.8199,1.2853,0.401962,0.810381531715,2.49764,190.108,192.622
9,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,8.0,192.623,14.0,6.0,8.0,12.0,15.0,14.5018,207.124,207.125,210.153,1.0,1.0,1.0,210.555358887,0.40208107233,18.2327,1.8808,0.498284,1.29791891575,3.677,211.066,214.753
10,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,9.0,214.754,14.0,7.0,7.0,10.0,15.0,14.8814,229.635,229.636,232.667,1.0,1.0,1.0,233.075424194,0.408160865307,18.6216,1.0113,0.118721,1.29183912277,2.42186,233.587,236.017
11,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,10.0,236.017,19.0,8.0,11.0,16.0,18.0,17.5147,253.532,253.533,256.565,0.0,1.0,0.0,257.187225342,0.622529983521,21.4698,1.3267,0.485412,1.07746994495,2.88958,257.699,260.598
12,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,11.0,260.598,10.0,5.0,5.0,8.0,15.0,14.5143,275.112,275.113,278.145,1.0,2.0,0.0,279.163269043,1.01833081245,18.8654,1.2245,0.485804,0.681669235229,2.39197,279.673,282.078
