TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,0.0,231.515,44.0,36.0,8.0,3.0,20.0,19.5035,251.018,251.019,254.025,1.0,NA,NA,NA,NA,2.0,1.727,0.496688,NA,2.22369,256.034,258.262
2,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,1.0,258.263,30.0,22.0,8.0,1.0,15.0,14.505,272.768,272.768,275.774,0.0,2,1,277.000349871,1.22633750358,19.0376,1.0587,0.495112,0.473662496416,2.02747,277.308,279.338
3,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,2.0,279.338,23.0,10.0,13.0,1.0,15.0,14.5056,293.844,293.844,296.854,1.0,1,0,297.335484601,0.48158712819,18.2974,1.233,0.494457,1.21841287181,2.94587,297.643,300.591
4,0.9,0.75,1,0.25,-5,10,RR4,20,15,13.75,14.5,RR,0.1,1.0,3.0,300.592,28.0,13.0,15.0,2.0,16.0,15.5272,316.119,316.12,319.125,0.0,NA,NA,NA,NA,2.0,3.9403,0.472901,NA,4.4132,321.134,325.55
5,0.1,1,2,0,0,-5,MD1,-3,25,-3,-2,MD,0.9,1.0,4.0,325.55,30.0,13.0,17.0,4.0,18.0,17.501,343.051,343.052,346.059,1.0,NA,NA,NA,NA,2.0,2.3911,0.499072,NA,2.89017,348.068,350.964
6,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,5.0,350.964,31.0,21.0,10.0,2.0,15.0,14.651,365.615,365.616,368.62,0.0,1,1,369.572343435,0.952237434802,18.9085,2.134,0.349069,0.747762565198,3.23083,369.879,373.111
