TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,0.0,11.5787,19.0,11.0,8.0,1.0,15.0,14.6645,26.2432,26.2442,29.2515,1.0,2.0,0.0,30.0736274719,0.82216334343,18.7949,1.0587,0.33565,0.87783664465,2.27219,30.582,32.8576
2,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,1.0,32.8581,24.0,14.0,10.0,2.0,16.0,15.7693,48.6274,48.6281,51.6373,1.0,1.0,0.0,52.0646476746,0.427361428738,19.5066,1.2135,0.230788,1.27263855934,2.71693,52.573,55.291
3,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,2.0,55.2914,20.0,10.0,10.0,1.0,15.0,14.8784,70.1698,70.1705,73.1768,1.0,1.0,1.0,73.5437469482,0.366937577724,18.5523,1.233,0.121734,1.33306241035,2.6878,74.0528,76.7441
4,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,3.0,76.7445,19.0,9.0,10.0,1.0,15.0,14.8648,91.6093,91.61,94.6188,0.0,NA,NA,NA,NA,2.0,1.3679,0.13531,NA,1.50321,96.628,98.1352
5,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,4.0,98.1356,20.0,10.0,10.0,1.0,15.0,14.7483,112.884,112.885,115.888,1.0,1,0,116.413886874,0.525757370342,18.5783,4.653,0.251811,1.17424262966,6.07905,116.923,123.006
6,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,5.0,123.006,20.0,10.0,10.0,1.0,15.0,14.5016,137.508,137.509,140.517,1.0,1,1,140.988824333,0.47190175741,18.2825,2.4102,0.49849,1.22809824259,4.13679,141.499,145.64
7,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,6.0,145.64,22.0,10.0,12.0,2.0,18.0,17.5064,163.147,163.147,166.153,1.0,2,0,166.851718941,0.699097300938,21.5116,1.4961,0.493689,1.00090269906,2.99069,167.36,170.352
8,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,7.0,170.352,18.0,10.0,8.0,1.0,15.0,14.7151,185.067,185.068,188.072,0.0,2,0,188.554804464,0.482865635771,18.5026,1.048,0.285059,1.21713436423,2.55019,189.063,191.615
9,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,8.0,191.615,22.0,11.0,11.0,2.0,17.0,16.5047,208.12,208.121,211.127,0.0,1,0,211.569790463,0.442751412862,20.2546,2.2012,0.49537,1.25724858714,3.95382,212.079,216.037
10,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,9.0,216.037,23.0,13.0,10.0,1.0,17.0,16.5006,232.538,232.539,235.546,1.0,NA,NA,NA,NA,2.0,1.8631,0.49955,NA,2.36265,237.554,239.92
11,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,10.0,239.92,26.0,11.0,15.0,2.0,18.0,17.7564,257.676,257.677,260.682,0.0,2,0,261.135652726,0.454147887649,21.5157,1.0098,0.243729,1.24585211235,2.49938,261.643,264.145
12,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,11.0,264.146,26.0,15.0,11.0,3.0,18.0,17.9202,282.066,282.067,285.074,1.0,2,0,285.710598582,0.636819585809,21.8649,1.3248,0.0799311,1.06318041419,2.46791,286.218,288.69
13,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,12.0,288.69,26.0,11.0,15.0,2.0,19.0,18.5367,307.227,307.228,310.233,0.0,2,0,311.573531753,1.34031189239,23.1832,2.274,0.463394,0.359688107611,3.09708,312.082,315.184
14,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,13.0,315.184,25.0,15.0,10.0,4.0,17.0,16.8403,332.024,332.025,335.029,0.0,2,0,335.540466271,0.511403627752,20.6564,5.4629,0.159764,1.18859637225,6.81126,336.05,342.864
15,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,14.0,342.865,25.0,12.0,13.0,3.0,16.0,15.7474,358.612,358.613,361.62,0.0,1,1,362.099324577,0.478892652667,19.5345,5.4629,0.252693,1.22110734733,6.9367,362.609,369.548
16,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,15.0,369.549,20.0,10.0,10.0,1.0,19.0,18.5067,388.056,388.056,391.063,1.0,1,0,391.474056965,0.410717506718,22.2252,1.7267,0.493424,1.28928249328,3.50941,391.983,395.495
17,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,16.0,395.496,24.0,12.0,12.0,3.0,16.0,15.5008,410.996,410.997,414.005,1.0,1,0,414.665063686,0.660049796803,19.4694,1.5966,0.499305,1.0399502032,3.13586,415.175,418.313
18,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,17.0,418.313,21.0,11.0,10.0,2.0,15.0,14.5295,432.843,432.843,435.851,0.0,1,1,436.984083188,1.13327297923,18.9709,1.2377,0.47057,0.566727020766,2.275,437.492,439.767
