TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,0.0,0.0321197,6.06917,6.03705,6.06949,9.10189,0.0,2.0,1.0,9.4079284668,0.306038916111,9.67581,1.5139,1.39396107197,2.90786,9.72683,12.6355
2,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,1.0,12.6647,18.7007,6.03597,18.7009,21.7337,1.0,2.0,0.0,22.1840782166,0.450391381979,9.81939,1.0075,1.2496086359,2.25711,22.4998,24.7672
3,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,2.0,24.7936,30.8493,6.05564,30.8495,33.8828,1.0,1.0,1.0,34.2479248047,0.365170687437,9.75428,3.1124,1.33482933044,4.44723,34.5635,39.0156
4,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,3.0,39.0391,45.0812,6.04202,45.0814,48.1144,1.0,1.0,1.0,48.9998817444,0.885522067547,10.2607,2.5659,0.814477920532,3.38038,49.3142,52.6974
5,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,4.0,52.7244,58.7797,6.05529,58.7799,61.8127,0.0,2.0,0.0,62.2239990234,0.411255151033,9.79962,1.1412,1.28874480724,2.42994,62.5387,64.9795
6,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,5.0,65.0129,71.0783,6.06547,71.0786,74.1118,1.0,1.0,0.0,74.623840332,0.51203328371,9.91098,1.783,1.18796670437,2.97097,74.9435,77.9281
7,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,6.0,77.9576,84.0104,6.05283,84.0107,87.0434,0.0,2.0,0.0,87.2961196899,0.25271999836,9.63854,4.3408,1.44728004932,5.78808,87.6134,93.4095
8,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,7.0,93.4387,99.4753,6.03655,99.4755,102.508,1.0,1.0,0.0,102.823799133,0.315692126751,9.68508,1.1604,1.38430786133,2.54471,103.141,105.692
9,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,8.0,105.719,111.773,6.05477,111.774,114.807,0.0,2.0,0.0,115.183807373,0.377158105373,9.76527,1.0825,1.32284188271,2.40534,115.499,117.907
10,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,9.0,117.936,123.972,6.03595,123.973,127.005,0.0,2.0,1.0,127.655792236,0.650697171688,10.0194,1.8199,1.04930281639,2.8692,127.974,130.856
11,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,10.0,130.889,136.954,6.0653,136.954,139.987,0.0,1.0,0.0,140.375747681,0.388808727264,9.78715,1.5147,1.31119132042,2.82589,140.694,143.537
12,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,11.0,143.565,149.619,6.05437,149.619,152.652,0.0,2.0,0.0,153.047775269,0.395682603121,9.78291,1.4355,1.30431735516,2.73982,153.366,156.119
13,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,12.0,156.148,162.201,6.05272,162.201,165.234,1.0,1.0,0.0,165.703735352,0.469591736794,9.85549,2.2412,1.23040831089,3.47161,166.023,169.501
14,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,13.0,169.527,175.583,6.05562,175.583,178.616,1.0,2.0,0.0,178.991699219,0.375834316015,9.76445,1.2203,1.32416570187,2.54447,179.307,181.866
15,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,14.0,181.892,187.931,6.03897,187.931,190.965,1.0,2.0,1.0,191.359771729,0.395225733519,9.7676,1.2245,1.30477428436,2.52927,191.68,194.214
16,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,15.0,194.24,200.297,6.05648,200.297,203.33,0.0,NA,NA,NA,NA,2.0,1.6301,NA,1.6301,205.347,206.98
17,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,16.0,207.006,213.062,6.05567,213.062,216.095,0.0,1,1,216.431719642,0.337037902675,9.72589,1.61,1.36296209733,2.97296,216.747,219.728
18,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,17.0,219.751,225.81,6.05971,225.811,228.843,1.0,1,1,229.119652656,0.276230431395,9.66896,2.1542,1.42376956861,3.57797,229.435,233.027
