TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,0.0,3.97325,15.0,9.0,6.0,1.0,15.0,14.9318,18.905,18.9058,21.9378,1.0,NA,NA,NA,NA,2.0,2.274,0.0683387,NA,2.34234,23.9449,26.3043
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,26.3046,23.0,12.0,11.0,1.0,19.0,19.0116,45.3162,45.3168,48.3341,1.0,2,1,48.8768834193,0.542787247337,22.8723,1.5966,-0.0115521,1.15721275266,2.74226,49.3898,52.1341
3,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,2.0,52.1345,20.0,7.0,13.0,2.0,15.0,14.8153,66.9497,66.9502,69.982,1.0,2,0,71.1488611602,1.1668585405,19.3144,2.4102,0.184822,0.533141459501,3.12816,71.6605,74.7985
4,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,3.0,74.7988,24.0,9.0,15.0,3.0,19.0,18.514,93.3128,93.3133,96.3456,0.0,1,0,96.7649118858,0.41926061397,22.2661,1.2377,0.486125,1.28073938603,3.00456,97.2765,100.296
5,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,4.0,100.296,22.0,10.0,12.0,3.0,16.0,15.5819,115.878,115.878,118.91,1.0,1,1,119.372837077,0.463161535328,19.377,5.4629,0.418221,1.23683846467,7.11796,119.883,127.009
6,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,5.0,127.01,23.0,23.0,0.0,0.0,15.0,14.8145,141.824,141.825,144.856,1.0,2,1,145.388761162,0.532353561954,18.6792,1.233,0.185574,1.16764643805,2.58622,145.901,148.49
7,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,6.0,148.49,23.0,8.0,15.0,2.0,16.0,15.9985,164.489,164.489,167.52,0.0,1,1,168.124696,0.604233207414,19.9347,2.2012,0.00154091,1.09576679259,3.29851,168.634,171.937
8,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,7.0,171.938,18.0,7.0,11.0,1.0,15.0,14.5143,186.452,186.452,189.485,1.0,2,0,190.060704014,0.575983757968,18.4232,1.048,0.485795,1.12401624203,2.65781,190.572,193.235
9,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,8.0,193.235,24.0,12.0,12.0,3.0,17.0,16.781,210.016,210.017,213.049,0.0,1,1,213.324697058,0.275925723836,20.3896,5.4629,0.219076,1.42407427616,7.10605,213.835,220.948
10,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,9.0,220.948,18.0,5.0,13.0,1.0,15.0,14.5145,235.463,235.463,238.496,0.0,NA,NA,NA,NA,2.0,1.4961,0.485568,NA,1.98167,240.505,242.496
11,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,10.0,242.496,21.0,12.0,9.0,2.0,18.0,17.9143,260.41,260.411,263.443,0.0,1,1,264.212690409,0.769872917677,22.0165,1.3679,0.0857931,0.930127082323,2.38382,264.724,267.109
12,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,11.0,267.11,18.0,10.0,8.0,3.0,17.0,16.5644,283.674,283.675,286.707,1.0,2,0,287.23684764,0.530152266962,20.4271,1.2135,0.435719,1.16984773304,2.81907,287.746,290.573
