TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,0.0,13.0978,25.0,10.0,15.0,3.0,17.0,16.8658,29.9637,29.9646,32.9691,0.0,1.0,1.0,33.4406,0.471591,20.6428,1.5734,0.134317,1.22841,2.93613,33.9493,36.8896
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,36.89,23.0,14.0,9.0,1.0,17.0,16.6832,53.5732,53.5739,56.58,0.0,2.0,1.0,57.1516,0.571605,20.5616,1.0113,0.316942,1.1284,2.45664,57.6609,60.1224
3,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,2.0,60.1228,18.0,11.0,7.0,2.0,15.0,14.5029,74.6256,74.6264,77.6308,0.0,1.0,1.0,78.7907,1.15991,18.9679,1.8808,0.497238,0.540085,2.91812,79.301,82.2222
4,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,3.0,82.2226,22.0,9.0,13.0,2.0,15.0,14.6196,96.8422,96.8429,99.8487,1.0,1.0,1.0,100.31,0.461055,18.3872,1.1477,0.38053,1.23895,2.76718,100.818,103.588
5,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,4.0,103.588,21.0,14.0,7.0,3.0,16.0,15.5039,119.092,119.093,122.098,0.0,1.0,0.0,122.573,0.474443,19.2844,2.3911,0.496235,1.22556,4.11289,123.083,127.202
6,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,5.0,127.203,23.0,9.0,14.0,1.0,16.0,15.6535,142.856,142.857,145.863,0.0,1.0,1.0,146.636,0.772748,19.7331,1.3975,0.346618,0.927252,2.67137,147.143,149.818
7,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,6.0,149.818,15.0,5.0,10.0,2.0,16.0,15.501,165.319,165.32,168.326,1.0,2.0,0.0,170.083,1.75651,20.5646,1.2245,0.499071,-0.0565076,1.66706,170.592,172.261
8,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,7.0,172.262,21.0,9.0,12.0,2.0,15.0,14.9172,187.179,187.18,190.188,1.0,1.0,1.0,190.722,0.534355,18.76,2.5575,0.0828949,1.16565,3.80604,191.23,195.038
9,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,8.0,195.038,19.0,8.0,11.0,1.0,15.0,14.5724,209.611,209.611,212.62,1.0,1.0,1.0,213.089,0.46851,18.3507,1.2853,0.427722,1.23149,2.94451,213.598,216.544
10,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,9.0,216.544,14.0,6.0,8.0,1.0,15.0,14.5053,231.05,231.05,234.055,1.0,1.0,1.0,235.112,1.05677,18.8677,1.4411,0.494772,0.64323,2.5791,235.621,238.203
