TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,0.0,10.995,9.0,5.0,4.0,7.0,17.0,16.5019,27.4969,27.4979,30.504,0.0,1.0,1.0,32.0499,1.54589,21.3549,1.0587,0.498234,0.15411,1.71104,32.5579,34.2716
2,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,1.0,34.272,13.0,6.0,7.0,10.0,17.0,16.5036,50.7757,50.7764,53.781,0.0,1.0,1.0,54.5449,0.76385,20.5728,2.2012,0.496448,0.93615,3.6338,55.0536,58.6914
3,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,2.0,58.6918,19.0,7.0,12.0,11.0,15.0,14.5014,73.1932,73.1939,76.1979,0.0,2.0,1.0,76.6239,0.426008,18.2321,1.5966,0.498685,1.27399,3.36928,77.1331,80.5073
4,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,3.0,80.5077,16.0,7.0,9.0,1.0,15.0,14.5023,95.01,95.0108,98.0168,1.0,1.0,0.0,98.591,0.574118,18.3832,1.7267,0.497794,1.12588,3.35038,99.1009,102.457
5,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,4.0,102.457,16.0,5.0,11.0,3.0,16.0,15.8663,118.323,118.324,121.33,0.0,1.0,1.0,122.19,0.85989,20.033,1.3248,0.133826,0.84011,2.29874,122.7,125.0
6,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,5.0,125.001,21.0,7.0,14.0,3.0,16.0,15.8424,140.843,140.844,143.853,0.0,1.0,1.0,144.205,0.351911,19.5044,1.3679,0.157683,1.34809,2.87367,144.714,147.589
7,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,6.0,147.59,21.0,11.0,10.0,3.0,16.0,15.5026,163.092,163.093,166.097,1.0,1.0,0.0,166.5,0.402968,19.2104,1.233,0.497476,1.29703,3.02751,167.009,170.038
8,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,7.0,170.038,21.0,9.0,12.0,4.0,15.0,14.5005,184.538,184.539,187.545,1.0,1.0,1.0,187.899,0.354332,18.1611,1.2135,0.4996,1.34567,3.05877,188.408,191.469
9,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,8.0,191.469,22.0,5.0,17.0,2.0,15.0,14.9901,206.459,206.46,209.468,1.0,2.0,0.0,209.914,0.446068,18.7449,1.2377,0.0100508,1.25393,2.50168,210.423,212.927
10,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,9.0,212.927,22.0,12.0,10.0,4.0,15.0,14.9569,227.884,227.885,230.89,1.0,2.0,1.0,231.401,0.510885,18.7743,4.653,0.0432435,1.18911,5.88536,231.91,237.802
