Trial,Resp,LR,Outcome,RT,respOnset
1,2,1,-4,0.873119558324106,17.31270191463409
1,2,1,-4,0.7752013081917539,18.087903222825844
1,2,1,+27,1.0323672945378348,19.12027051736368
1,2,1,-4,0.584503095713444,19.704773613077123
1,1,1,+5,0.5583942990051582,20.26316791208228
1,1,1,+5,0.8961264736717567,21.159294385754038
1,1,1,+5,0.5623940278892405,21.721688413643278
1,1,1,+5,0.6471048693056218,22.3687932829489
1,1,1,+5,0.5184147377731279,22.887208020722028
1,2,1,-4,0.7145812056260183,23.601789226348046
1,2,1,-4,0.8340667672455311,24.435855993593577
1,2,1,-4,0.9093855078099295,25.345241501403507
1,2,1,-4,0.8299892892828211,26.175230790686328
1,1,1,+5,0.7039171280921437,26.87914791877847
1,1,1,+5,1.009210167801939,27.88835808658041
1,2,1,-4,0.8866675084573217,28.775025595037732
1,2,1,-4,0.83299289556453,29.608018490602262
1,2,1,-4,0.9607802036916837,30.568798694293946
2,1,0,+12,0.8726599052315578,42.183513255324215
2,2,0,+7,0.6234747165581211,42.806987971882336
2,1,0,0,0.9769551430945285,43.783943114976864
2,2,0,+7,1.294475640868768,45.07841875584563
2,1,0,0,0.8159166877157986,45.89433544356143
2,1,0,+12,0.8041152951773256,46.69845073873876
2,2,0,+7,0.8518246799358167,47.55027541867457
2,2,0,+7,0.840973382408265,48.39124880108284
2,2,0,+7,0.7112700235447846,49.10251882462762
2,2,0,+7,0.6656604885938577,49.76817931322148
2,2,0,+7,0.6234818695229478,50.39166118274443
2,2,0,+7,0.5988083228003234,50.99046950554475
2,2,0,+7,0.527675909048412,51.518145414593164
2,1,0,0,0.8012684312416241,52.31941384583479
2,1,0,+12,0.8464621634921059,53.165876009326894
2,1,0,0,0.9285313988802955,54.09440740820719
2,1,0,+12,0.6966444698045962,54.791051878011785
2,1,0,+12,0.8418525701272301,55.632904448139016
2,1,0,+12,0.8289496272336692,56.461854075372685
3,2,1,+5,0.7095977941644378,64.83288311376236
3,2,1,+5,0.7406557925278321,65.5735389062902
3,1,1,+3,0.7532545807189308,66.32679348700913
3,1,1,+3,0.8319659843691625,67.15875947137829
3,2,1,+5,0.751183653541375,67.90994312491966
3,2,1,+5,0.7837891716044396,68.6937322965241
3,2,1,+5,0.7443986380822025,69.4381309346063
3,2,1,+5,0.8870077388128266,70.32513867341913
3,1,1,+3,0.6801977193099447,71.00533639272908
3,1,1,+3,0.6722610829747282,71.6775974757038
3,1,1,+3,0.649704179901164,72.32730165560497
3,1,1,+3,0.5821827491745353,72.9094844047795
3,2,1,+5,0.928136122005526,73.83762052678503
3,2,1,+5,0.6176680968492292,74.45528862363426
3,2,1,+5,0.9825767197762616,75.43786534341052
3,2,1,+5,1.272268609085586,76.71013395249611
3,1,1,+3,0.9587783178430982,77.6689122703392
3,1,1,+3,0.5519616428646259,78.22087391320383
3,2,1,+5,0.8766244913567789,79.09749840456061
4,1,0,+2,0.8160709420917556,87.48556881921832
4,1,0,+10,0.7908571940497495,88.27642601326806
4,1,0,+2,0.7920912289991975,89.06851724226726
4,1,0,+10,0.5916183896479197,89.66013563191518
4,2,0,-4,0.5999070741818286,90.26004270609701
4,2,0,+18,0.6001723543740809,90.86021506047109
4,2,0,-4,0.5722949194023386,91.43250997987343
4,2,0,-4,0.5243233644287102,91.95683334430214
4,1,0,+2,0.6634066954138689,92.62024003971601
4,1,0,+2,0.5201441905228421,93.14038423023885
4,1,0,+2,0.8423259071423672,93.98271013738122
4,2,0,-4,0.5336523330188356,94.51636247040005
4,1,0,+2,0.5840303806471638,95.10039285104722
4,2,0,-4,1.6561853515449911,96.75657820259221
4,2,0,-4,0.6490905834361911,97.4056687860284
4,1,0,+2,0.6640688073821366,98.06973759341054
4,1,0,+2,0.8622751026996411,98.93201269611018
4,1,0,+2,0.7682713682879694,99.70028406439815
4,1,0,+2,0.5600774133345112,100.26036147773266
4,2,0,+18,1.1612138574710116,101.42157533520367
5,2,1,+8,0.9037101286230609,111.06750712491339
5,2,1,+8,0.799730863480363,111.86723798839375
5,2,1,+8,0.6798985404311679,112.54713652882492
5,2,1,-9,0.6088043792988174,113.15594090812374
5,2,1,+8,0.5599536366062239,113.71589454472996
5,1,1,+5,1.0092263396945782,114.72512088442454
5,1,1,+5,0.7824549956712872,115.50757588009583
5,1,1,+5,0.7064032358466648,116.2139791159425
5,1,1,+5,0.9422992236213759,117.15627833956387
5,2,1,+8,0.9924309618654661,118.14870930142934
5,2,1,+8,0.6879816561704502,118.83669095759979
5,2,1,+8,0.7599344791960903,119.59662543679588
5,2,1,+8,0.6956119606620632,120.29223739745794
5,2,1,-9,0.6547401497955434,120.94697754725348
5,2,1,-9,0.6407829280360602,121.58776047528954
5,2,1,+8,0.5611301372409798,122.14889061253052
5,2,1,+8,0.9266137930680998,123.07550440559862
5,2,1,-9,0.7034325951826759,123.7789370007813
5,2,1,+8,0.6563638636725955,124.4353008644539
5,2,1,+8,0.6269221152178943,125.06222297967179
5,2,1,+8,0.5732204456580803,125.63544342532987
5,2,1,+8,0.5676778621273115,126.20312128745718
5,2,1,+8,0.5442501682555303,126.74737145571271
5,2,1,+8,0.5145359867019579,127.26190744241467
6,2,1,+4,0.90859899710631,139.75418072892353
6,2,1,+4,0.7840892833773978,140.53827001230093
6,2,1,+4,0.68105855822796,141.2193285705289
6,2,1,+4,0.5681558640790172,141.7874844346079
6,2,1,+4,0.9427088063093834,142.7301932409173
6,2,1,+4,0.6558653359534219,143.3860585768707
6,2,1,+4,0.6158997694728896,144.0019583463436
6,2,1,+4,0.5842309735598974,144.5861893199035
6,1,1,+3,0.6422604733961634,145.22844979329966
6,1,1,+3,1.049345538544003,146.27779533184366
6,1,1,+3,0.7513550127041526,147.02915034454782
6,1,1,+3,0.6207286155549809,147.6498789601028
6,1,1,+3,0.5297925526974723,148.17967151280027
6,2,1,0,0.7993741502286866,148.97904566302896
6,2,1,+4,0.5750189396785572,149.5540646027075
6,2,1,+4,0.5760502048651688,150.13011480757268
6,1,1,+3,0.9763017389341258,151.1064165465068
6,1,1,+3,1.2314935182221234,152.33791006472893
