Trial,Resp,LR,Outcome,RT,respOnset
1,2,1,-4,7.141608591657132,13.908043260104023
1,1,1,-3,0.9334967250470072,14.84153998515103
1,2,1,-4,1.0496333503397182,15.891173335490748
1,2,1,-4,0.7666268571047112,16.65780019259546
1,1,1,-3,0.6999378125183284,17.357738005113788
1,2,1,0,0.799897373537533,18.15763537865132
1,1,1,-3,0.6834141293074936,18.841049507958815
1,2,1,0,1.1831998522393405,20.024249360198155
1,1,1,-3,0.8658682599198073,20.890117620117962
2,1,0,+15,1.699190958053805,30.089615362347104
2,2,0,+30,0.949934319825843,31.039549682172947
2,1,0,+15,0.5498396981274709,31.589389380300418
2,2,0,+30,0.5477108986815438,32.13710027898196
2,2,0,-8,0.6355108533753082,32.77261113235727
2,1,0,+15,1.1164873975794762,33.889098529936746
2,2,0,+30,0.5498646185733378,34.438963148510084
2,2,0,-8,0.9499932223698124,35.388956370879896
2,1,0,+15,0.6667386586777866,36.05569502955768
2,2,0,+30,1.099663537926972,37.155358567484654
2,1,0,+5,0.6167341466061771,37.77209271409083
2,2,0,-8,1.0832667218055576,38.85535943589639
2,2,0,+30,1.1330847091739997,39.98844414507039
2,1,0,+5,0.7665558718144894,40.75500001688488
2,2,0,+30,0.5998000333784148,41.35480005026329
3,2,0,+4,1.2993674392346293,50.75389030750375
3,1,0,+6,0.7007677346700802,51.45465804217383
3,2,0,+4,0.9998787966324016,52.454536838806234
3,2,0,+4,0.9322816706262529,53.38681850943249
3,2,0,+4,0.7998985062586144,54.1867170156911
3,1,0,+6,0.7833521683933213,54.97006918408442
3,1,0,+6,0.7999555210117251,55.77002470509615
3,2,0,+4,0.816368572995998,56.586393278092146
3,1,0,+6,0.5999420036096126,57.18633528170176
3,2,0,+4,0.8499947704840451,58.036330052185804
3,1,0,+6,1.0331338323885575,59.06946388457436
3,2,0,+4,0.8833000244339928,59.952763909008354
3,1,0,-8,0.9165652547962964,60.86932916380465
3,2,0,+4,1.966379466233775,62.835708630038425
3,1,0,+6,0.7999879929702729,63.6356966230087
4,1,0,0,0.8826339720981196,71.83471521537285
4,2,0,+3,0.5833310993621126,72.41804631473497
4,2,0,+3,0.6665196618996561,73.08456597663462
4,1,0,0,0.9499007152626291,74.03446669189725
4,1,0,0,2.299653645255603,76.33412033715285
4,1,0,+32,1.516443069675006,77.85056340682786
4,2,0,+3,1.5666125846328214,79.41717599146068
4,2,0,+3,1.0664492808282375,80.48362527228892
4,1,0,0,0.8999388697557151,81.38356414204463
4,2,0,+3,0.5999125522794202,81.98347669432405
4,1,0,0,0.6666627650847659,82.65013945940882
4,2,0,+3,0.5500575620681047,83.20019702147692
4,1,0,0,0.565851004444994,83.76604802592192
4,1,0,0,2.26724099193234,86.03328901785426
5,2,1,+4,0.8994835073826835,94.14877695962787
5,1,1,-6,0.5830686808330938,94.73184564046096
5,2,1,+4,0.6334179239347577,95.36526356439572
5,1,1,-6,0.866470878594555,96.23173444299027
5,2,1,+4,1.0166331814834848,97.24836762447376
5,1,1,-6,0.6333348562475294,97.88170248072129
5,2,1,+4,1.0997632192447782,98.98146569996607
5,1,1,-6,0.9334049730096012,99.91487067297567
5,2,1,+4,1.4663860738510266,101.3812567468267
5,1,1,-6,0.8167518173577264,102.19800856418442
5,2,1,+4,0.6497599909780547,102.84776855516247
5,2,1,+4,4.499396059778519,107.347164614941
6,1,0,+24,0.9827170021599159,115.69621751049999
6,2,0,+35,0.8834106556605548,116.57962816616055
6,2,0,+35,0.7829923338722438,117.36262050003279
6,1,0,+40,0.7167650705669075,118.0793855705997
6,2,0,+35,0.567326211836189,118.64671178243589
6,1,0,+40,0.5824641742510721,119.22917595668696
6,2,0,+35,1.0500237686792389,120.2791997253662
6,1,0,+24,1.1671851477585733,121.44638487312477
6,1,0,+40,0.6157939708791673,122.06217884400394
6,2,0,+35,0.5665657646022737,122.62874460860621
6,1,0,+24,0.733434499707073,123.36217910831328
6,2,0,+35,0.9497719602659345,124.31195106857922
6,1,0,+24,0.8998036957345903,125.21175476431381
6,2,0,+35,0.9832376858685166,126.19499245018233
6,1,0,+24,0.8674990306608379,127.06249148084316
