TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,0.0,6.76643,9.0,4.0,5.0,7.0,15.0,14.6469,21.4133,21.414,24.4401,1.0,1.0,1.0,25.022315979,0.582227826118,18.5559,1.3679,0.353261,1.11777222157,2.83893,25.5429,28.3901
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,28.3904,15.0,9.0,6.0,11.0,15.0,14.5145,42.9049,42.9054,45.9376,0.0,NA,NA,NA,NA,2.0,1.0098,0.485609,NA,1.49541,47.9449,49.4542
3,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,2.0,49.4545,15.0,7.0,8.0,11.0,15.0,14.6996,64.1541,64.1546,67.1852,0.0,2,0,67.9501098947,0.764963236754,18.7956,1.2377,0.300523,0.935036763246,2.47326,68.472,70.9517
4,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,3.0,70.9521,14.0,8.0,6.0,8.0,16.0,15.6031,86.5552,86.5557,89.5824,0.0,2,0,89.894238535,0.311821935931,19.2422,1.048,0.396993,1.38817806407,2.83317,90.4033,93.249
5,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,4.0,93.2493,12.0,5.0,7.0,10.0,15.0,14.6135,107.863,107.863,110.88,1.0,1,1,111.470059556,0.590072801337,18.5208,1.233,0.386615,1.10992719866,2.72954,111.979,114.713
6,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,5.0,114.714,17.0,8.0,9.0,13.0,15.0,14.5508,129.264,129.265,132.294,0.0,2,1,132.798027972,0.503815640928,18.3845,1.8631,0.449305,1.19618435907,3.50859,133.318,136.827
7,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,6.0,136.828,21.0,11.0,10.0,16.0,19.0,18.9471,155.775,155.776,158.808,1.0,1,0,159.213986266,0.406175179989,22.6862,2.4102,0.0529727,1.29382482001,3.757,159.733,163.491
8,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,7.0,163.491,16.0,7.0,9.0,14.0,15.0,14.902,178.393,178.394,181.422,1.0,2,0,181.958106675,0.53620903776,18.7669,1.7267,0.0980566,1.16379096224,2.98855,182.476,185.472
9,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,8.0,185.472,17.0,9.0,8.0,12.0,15.0,14.5146,199.987,199.987,203.019,1.0,2,0,203.621896051,0.603073657257,18.4499,1.3248,0.485459,1.09692634274,2.90719,204.146,207.069
10,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,9.0,207.069,18.0,10.0,8.0,15.0,18.0,17.5142,224.584,224.584,227.616,0.0,2,0,228.229861643,0.613442398724,21.4604,1.2135,0.485886,1.08655760128,2.78594,228.748,231.55
