TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,0.0,0.0307321,6.08234,6.05161,6.08267,9.11547,0.0,2.0,0.0,9.43998,0.324513,9.70925,2.1542,1.37549,3.52969,9.7535,13.2989
2,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,1.0,13.3299,19.364,6.03411,19.3643,22.3973,0.0,1.0,0.0,22.792,0.394647,9.76202,1.2245,1.30535,2.52985,23.1172,25.6638
3,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,2.0,25.6919,31.7462,6.05423,31.7464,34.7793,1.0,2.0,0.0,35.176,0.396727,9.78406,2.5659,1.30327,3.86917,35.4893,39.3623
4,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,3.0,39.3896,45.4444,6.05473,45.4446,48.4773,1.0,2.0,1.0,48.816,0.338712,9.72635,3.1124,1.36129,4.47369,49.1331,53.6107
5,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,4.0,53.6363,59.693,6.0567,59.6932,62.726,0.0,2.0,0.0,63.096,0.370032,9.75976,1.783,1.32997,3.11297,63.4088,66.5259
6,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,5.0,66.5528,72.6081,6.05529,72.6083,75.6411,1.0,1.0,0.0,76.0959,0.454832,9.8431,2.2412,1.24517,3.48637,76.4186,79.9076
7,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,6.0,79.9346,85.9898,6.05524,85.9901,89.0229,0.0,2.0,0.0,89.4879,0.465011,9.8533,1.2203,1.23499,2.45529,89.799,92.2563
8,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,7.0,92.2873,98.3385,6.05127,98.3388,101.371,0.0,1.0,0.0,101.76,0.388599,9.77271,1.0825,1.3114,2.3939,102.068,104.471
9,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,8.0,104.498,110.554,6.0554,110.554,113.587,0.0,2.0,0.0,113.96,0.373104,9.76161,1.8199,1.3269,3.1468,114.267,117.42
10,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,9.0,117.443,123.485,6.04207,123.485,126.519,0.0,1.0,1.0,127.128,0.609274,9.98476,1.4355,1.09073,2.52623,127.445,129.985
11,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,10.0,130.012,136.067,6.05583,136.068,139.1,1.0,2.0,0.0,139.568,0.467568,9.85629,1.6301,1.23243,2.86253,139.879,142.75
12,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,11.0,142.78,148.833,6.05219,148.833,151.866,1.0,1.0,0.0,152.256,0.390259,9.7755,1.1604,1.30974,2.47014,152.565,155.049
13,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,12.0,155.078,161.131,6.05271,161.131,164.164,0.0,1.0,1.0,164.504,0.33966,9.72551,1.0075,1.36034,2.36784,164.868,167.247
14,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,13.0,167.27,173.329,6.05963,173.33,176.363,0.0,2.0,0.0,176.664,0.301595,9.69449,1.61,1.39841,3.00841,176.967,179.979
15,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,14.0,180.004,186.061,6.05797,186.062,189.094,0.0,2.0,0.0,189.552,0.457496,9.84834,1.5147,1.2425,2.7572,189.87,192.628
16,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,15.0,192.652,198.693,6.04099,198.693,201.71,1.0,1.0,1.0,203.024,1.31398,10.6718,4.3408,0.38602,4.72682,203.348,208.076
17,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,16.0,208.1,214.158,6.05832,214.159,217.192,1.0,2.0,0.0,217.552,0.359996,9.75182,1.5139,1.34,2.8539,217.862,220.725
18,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,17.0,220.748,226.79,6.0419,226.79,229.823,0.0,2.0,0.0,230.152,0.328463,9.70353,1.1412,1.37154,2.51274,230.465,232.99
