Trial,Resp,LR,Outcome,RT,respOnset
1,1,0,-5,6.389002729498316,219.49904717458412
1,2,0,-3,1.7332307823817246,221.23227795696585
1,1,0,-5,0.8997507588355802,222.13202871580143
1,2,0,-3,0.8666708955424838,222.9986996113439
2,2,1,-6,0.8492693243315443,235.73056732665282
2,1,1,-2,0.7998183080926538,236.53038563474547
2,1,1,-2,0.9166021947166882,237.44698782946216
2,2,1,-6,0.32063226675381884,237.76762009621598
2,2,1,0,7.078409961482976,244.84603005769895
2,1,1,-2,0.6668411090504378,245.5128711667494
2,2,1,0,1.3327643189113587,246.84563548566075
2,1,1,-2,0.8168030300294049,247.66243851569016
2,2,1,0,0.8666338926414028,248.52907240833156
2,1,1,-2,0.4847814127570018,249.01385382108856
3,2,1,0,0.7327369065606035,258.84454389929306
3,1,1,+18,0.6166330430423841,259.46117694233544
3,2,1,+20,0.5832046726718545,260.0443816150073
3,1,1,+18,0.5665273015620187,260.6109089165693
3,2,1,+20,0.5165956247947179,261.12750454136403
3,1,1,+18,0.5167051233001985,261.64420966466423
3,2,1,+20,0.9000116672250442,262.5442213318893
3,1,1,+18,0.41647174052195624,262.96069307241123
3,2,1,+20,0.6499655079678632,263.6106585803791
3,1,1,+18,0.5998491942300461,264.21050777460914
3,2,1,+20,0.6331352166016586,264.8436429912108
3,1,1,+18,0.4336248635663651,265.27726785477716
3,1,1,+18,1.316831914940849,266.594099769718
3,2,1,+20,0.39978039893321693,266.99388016865123
3,1,1,+18,0.44954594009323046,267.44342610874446
3,2,1,+20,0.4500405711005442,267.893466679845
3,1,1,+18,0.816275549470447,268.70974222931545
3,2,1,+20,1.183509606984444,269.8932518362999
3,1,1,+18,0.4837343808612786,270.3769862171612
3,2,1,+20,0.9162113984930329,271.2931976156542
3,1,1,+18,0.3331943835946731,271.6263919992489
3,1,1,+18,0.5833927079220302,272.2097847071709
4,1,0,-8,1.016159707622137,281.3252795325825
4,2,0,+10,0.5832397876656614,281.90851932024816
4,1,0,+17,0.7167172813788056,282.62523660162697
4,2,0,+10,0.7333799268235452,283.3586165284505
4,1,0,+17,1.2994091991567984,284.6580257276073
4,2,0,+10,0.5001542418031022,285.1581799694104
4,1,0,-8,0.8165477853035554,285.97472775471397
4,2,0,+10,0.6164895623805933,286.59121731709456
4,1,0,+17,0.7834075090941042,287.37462482618866
4,2,0,+10,0.632978142995853,288.0076029691845
4,2,0,+10,0.9000690595130436,288.90767202869756
4,1,0,+17,0.9500951315276325,289.8577671602252
4,2,0,+10,0.5997457369812764,290.45751289720647
4,1,0,-8,0.5333058454561979,290.99081874266267
4,2,0,+10,0.6331944968551397,291.6240132395178
4,1,0,-8,2.001464258763008,293.6254774982808
4,2,0,+10,0.3645554985268973,293.9900329968077
4,1,0,+17,1.2504886841052212,295.24052168091293
4,2,0,+10,0.44953045924194157,295.6900521401549
5,2,1,-2,1.26559343066765,303.67221068713116
5,1,1,+2,0.6835905981133692,304.3558012852445
5,2,1,+9,1.0342431900207885,305.3900444752653
5,1,1,+2,0.6159685006714426,306.00601297593676
5,2,1,+9,1.332672189164441,307.3386851651012
5,1,1,+2,0.6673074215068482,308.00599258660804
5,2,1,-2,1.0162695836625062,309.02226217027055
5,1,1,+2,0.38312568271066993,309.4053878529812
5,2,1,-2,1.1497485878062434,310.55513644078746
5,1,1,+2,1.0499229923589155,311.6050594331464
5,2,1,-2,1.1998350726207718,312.80489450576715
5,2,1,+9,0.6999104000860825,313.50480490585323
5,1,1,+2,0.4665963610750623,313.9714012669283
5,2,1,-2,1.79981868568575,315.77121995261405
5,1,1,+2,0.9167671975446865,316.68798715015873
5,1,1,+2,1.0665256024803966,317.75451275263913
5,2,1,-2,0.6497940862318501,318.404306838871
5,1,1,+2,0.7830087836482562,319.18731562251924
5,2,1,-2,0.6334406795795076,319.82075630209874
5,1,1,+2,0.33316379954339936,320.15392010164214
5,1,1,+2,0.8833475114661269,321.03726761310827
5,2,1,-2,0.8181849761167541,321.855452589225
6,2,1,+15,1.0994725572527386,333.2861036256072
6,1,1,-5,0.6497778502525762,333.9358814758598
6,2,1,+15,0.9666437475243583,334.90252522338415
6,1,1,+20,0.39936468232190236,335.30188990570605
6,2,1,+15,0.6170627301908098,335.91895263589686
6,1,1,+20,0.6169645591289736,336.53591719502583
6,2,1,+15,0.5995029524783604,337.1354201475042
6,1,1,+20,0.8166444460512139,337.9520645935554
6,2,1,+15,0.734218533965759,338.68628312752116
6,1,1,+20,0.5322365363244899,339.21851966384565
6,2,1,+10,0.6999730785028078,339.91849274234846
6,1,1,+20,0.5839398226817138,340.5024325650302
6,2,1,+15,0.5825208735768683,341.08495343860704
6,1,1,+20,0.616556394204963,341.701509832812
6,2,1,+10,0.8166300979210064,342.518139930733
6,1,1,+20,0.45011948549654335,342.96825941622956
6,2,1,+10,0.5997952001052909,343.56805461633485
6,1,1,+20,0.683083884534426,344.2511385008693
6,1,1,-5,0.6334614465013146,344.8845999473706
6,1,1,+20,0.5999432118260302,345.4845431591966
6,2,1,+15,0.599835223692935,346.08437838288955
6,2,1,+15,0.7496695223380812,346.83404790522764
6,1,1,-5,0.6167859633569606,347.4508338685846
6,2,1,+15,0.900007136282511,348.3508410048671
6,1,1,+20,0.6499201982514933,349.0007612031186
6,2,1,+15,0.6846889809239656,349.68545018404257
