TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,0.0,0.0327615,6.09139,6.05863,6.09171,9.12449,1.0,2.0,1.0,9.66401,0.539517,9.93124,1.2245,1.16048,2.38498,9.98578,12.3745
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,12.4055,18.4568,6.0513,18.4571,21.4897,1.0,1.0,0.0,22.2,0.710234,10.0945,2.3911,0.989766,3.38087,22.5137,25.9061
3,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,2.0,25.9367,31.9719,6.03513,31.9721,35.0047,1.0,1.0,1.0,36.3041,1.29938,10.6673,3.1912,0.400622,3.59182,36.6195,40.2211
4,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,3.0,40.2483,46.3034,6.05514,46.3037,49.3365,0.0,1.0,1.0,49.88,0.543471,9.93167,1.1342,1.15653,2.29073,50.1945,52.4863
5,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,4.0,52.5089,58.5687,6.05983,58.5689,61.6018,1.0,1.0,1.0,62.128,0.526212,9.91911,3.4263,1.17379,4.60009,62.4391,67.0513
6,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,5.0,67.0775,73.1337,6.05619,73.134,76.1667,1.0,1.0,1.0,77.008,0.841296,10.2305,4.7413,0.858704,5.6,77.3291,82.9327
7,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,6.0,82.9624,88.9985,6.03607,88.9987,92.0314,0.0,2.0,1.0,92.832,0.800511,10.1696,1.1239,0.899489,2.02339,93.1577,95.198
8,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,7.0,95.2325,101.297,6.06448,101.297,104.33,1.0,2.0,1.0,105.08,0.749709,10.1474,2.5049,0.950291,3.45519,105.402,108.863
9,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,8.0,108.897,114.962,6.06458,114.962,117.995,1.0,1.0,1.0,118.848,0.852778,10.2505,1.2493,0.847222,2.09652,119.167,121.278
10,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,9.0,121.304,127.361,6.05648,127.361,130.394,0.0,1.0,1.0,130.736,0.342267,9.73167,1.1188,1.35773,2.47653,131.054,133.544
11,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,10.0,133.57,139.626,6.05562,139.626,142.659,1.0,1.0,1.0,142.992,0.333031,9.72169,1.7448,1.36697,3.11177,143.318,146.442
12,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,11.0,146.47,152.524,6.05431,152.525,155.558,1.0,1.0,0.0,156.4,0.842248,10.2297,1.1231,0.857752,1.98085,156.723,158.707
13,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,12.0,158.732,164.79,6.05722,164.79,167.822,0.0,2.0,0.0,168.672,0.849352,10.2393,3.9403,0.850648,4.79095,168.982,173.789
14,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,13.0,173.816,179.871,6.05532,179.871,182.904,1.0,1.0,1.0,183.68,0.775719,10.1641,1.3975,0.924281,2.32178,183.996,186.321
15,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,14.0,186.347,192.403,6.05648,192.403,195.436,0.0,1.0,1.0,196.224,0.787703,10.1773,3.6229,0.912297,4.5352,196.54,201.086
16,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,15.0,201.109,207.168,6.05943,207.168,210.201,1.0,1.0,1.0,211.928,1.72664,11.1192,1.1584,-0.0266445,1.13176,212.238,213.384
17,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,16.0,213.416,219.45,6.03436,219.45,222.483,1.0,1.0,0.0,222.976,0.492901,9.86013,1.1622,1.2071,2.3693,223.303,225.683
18,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,17.0,225.711,231.765,6.05391,231.765,234.798,1.0,1.0,1.0,235.464,0.665542,10.0525,1.1057,1.03446,2.14016,235.782,237.932
