TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,0.0,5.05148,11.0,5.0,6.0,3.0,15.0,15.0001,20.0516,20.0525,23.0592,1.0,2.0,1.0,23.5384,0.479232,18.787,5.4629,1.21288e-05,1.22077,6.68368,24.0468,30.7345
2,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,1.0,30.7349,9.0,6.0,3.0,2.0,18.0,17.5031,48.238,48.2387,51.2481,0.0,2.0,0.0,51.6652,0.417082,21.2303,1.2135,0.497002,1.28292,2.99342,52.1734,55.1685
3,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,2.0,55.1689,17.0,7.0,10.0,2.0,15.0,14.7628,69.9316,69.9323,72.9374,0.0,2.0,1.0,73.2003,0.262832,18.3314,1.3248,0.237369,1.43717,2.99934,73.71,76.7132
4,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,3.0,76.7137,16.0,7.0,9.0,1.0,17.0,16.5036,93.2173,93.218,96.2228,0.0,2.0,0.0,96.5513,0.328469,20.1376,2.4102,0.496478,1.37153,4.27821,97.0594,101.344
5,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,4.0,101.344,13.0,4.0,9.0,2.0,17.0,16.5039,117.848,117.849,120.854,1.0,2.0,0.0,121.23,0.376225,20.1858,5.4629,0.496203,1.32378,7.28288,121.74,129.027
6,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,5.0,129.027,20.0,11.0,9.0,2.0,15.0,14.8271,143.855,143.855,146.863,1.0,2.0,0.0,146.973,0.109826,18.2456,1.048,0.173034,1.59017,2.81121,147.48,150.293
7,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,6.0,150.294,25.0,12.0,13.0,3.0,16.0,15.8672,166.161,166.162,169.166,0.0,1.0,1.0,169.444,0.278045,19.4504,1.8631,0.132933,1.42196,3.41799,169.953,173.375
8,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,7.0,173.376,23.0,16.0,7.0,1.0,15.0,14.5085,187.884,187.885,190.895,1.0,2.0,0.0,191.155,0.260505,18.0793,1.233,0.49165,1.4395,3.16415,191.664,194.83
9,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,8.0,194.83,10.0,5.0,5.0,1.0,16.0,15.5013,210.331,210.332,213.34,1.0,1.0,0.0,213.666,0.32617,19.1363,1.7267,0.49878,1.37383,3.59931,214.177,217.778
10,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,9.0,217.779,15.0,5.0,10.0,2.0,15.0,14.5016,232.28,232.281,235.285,1.0,2.0,0.0,235.585,0.300554,18.1066,1.3679,0.498466,1.39945,3.26581,236.094,239.364
11,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,10.0,239.365,25.0,10.0,15.0,3.0,18.0,18.0063,257.371,257.372,260.379,1.0,1.0,1.0,260.6,0.221494,21.5356,1.2377,-0.0061963,1.47851,2.71001,261.108,263.82
12,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,11.0,263.821,13.0,5.0,8.0,2.0,15.0,14.5009,278.322,278.322,281.328,1.0,2.0,0.0,281.391,0.063685,17.8706,4.653,0.499223,1.63631,6.78854,281.901,288.692
13,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,12.0,288.693,17.0,6.0,11.0,1.0,15.0,14.5014,303.194,303.195,306.203,0.0,2.0,0.0,306.606,0.403233,18.2137,1.0587,0.498709,1.29677,2.85418,307.114,309.97
14,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,13.0,309.97,11.0,5.0,6.0,2.0,18.0,17.5023,327.473,327.473,330.479,0.0,1.0,1.0,330.813,0.33416,21.143,2.2012,0.497779,1.36584,4.06482,331.321,335.389
15,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,14.0,335.39,15.0,8.0,7.0,1.0,15.0,14.5022,349.892,349.893,352.901,1.0,1.0,1.0,353.148,0.247568,18.0585,1.0098,0.497896,1.45243,2.96013,353.657,356.621
16,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,15.0,356.622,28.0,21.0,7.0,1.0,19.0,18.9368,375.558,375.559,378.566,1.0,1.0,1.0,378.667,0.101551,22.3455,2.274,0.0632732,1.59845,3.93572,379.175,383.116
17,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,16.0,383.117,8.0,6.0,2.0,1.0,19.0,18.5026,401.62,401.62,404.625,1.0,1.0,1.0,405.17,0.544885,22.3531,1.4961,0.497465,1.15512,3.14868,405.679,408.833
18,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,17.0,408.833,17.0,12.0,5.0,3.0,16.0,15.5027,424.336,424.337,427.342,0.0,2.0,1.0,427.385,0.0434416,18.852,1.5966,0.497387,1.65656,3.75055,427.894,431.647
