TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,0.0,64.8567,70.8702,6.01351,70.8706,73.8774,1.0,NA,NA,NA,NA,2.0,1.3975,NA,1.3975,75.8907,77.2942
2,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,1.0,77.3416,83.352,6.01039,83.3524,86.3605,1.0,1,1,87.1687853837,0.808261814469,10.1272,4.7413,0.891738185531,5.63304,87.4819,93.1162
3,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,2.0,93.1668,99.1786,6.01183,99.179,102.183,1.0,2,1,102.632104876,0.448949888465,9.7653,3.1912,1.25105011154,4.44225,102.948,107.395
4,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,3.0,107.44,113.449,6.00891,113.449,116.461,0.0,2,0,116.767501029,0.306914887653,9.62762,1.727,1.39308511235,3.12009,117.081,120.202
5,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,4.0,120.243,126.25,6.00718,126.25,129.258,0.0,2,0,129.670959873,0.412605256832,9.72843,1.233,1.28739474317,2.52039,129.984,132.51
6,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,5.0,132.559,138.569,6.01012,138.57,141.578,1.0,2,1,141.92644119,0.348537133628,9.66719,1.3679,1.35146286637,2.71936,142.24,144.961
