TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,0.0,65.579,71.6408,6.06174,71.6411,74.6739,0.0,NA,NA,NA,NA,2.0,1.3975,NA,1.3975,76.6867,78.0905
2,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,1.0,78.1185,84.1559,6.03733,84.1561,87.1889,0.0,NA,NA,NA,NA,2.0,4.7413,NA,4.7413,89.2004,93.9551
3,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,2.0,93.9784,100.037,6.05899,100.038,103.07,1.0,NA,NA,NA,NA,2.0,1.233,NA,1.233,105.082,106.32
4,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,3.0,106.355,112.419,6.06382,112.419,115.452,0.0,NA,NA,NA,NA,2.0,1.1749,NA,1.1749,117.466,118.652
5,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,4.0,118.68,124.718,6.03788,124.718,127.75,1.0,1,0,129.359235112,1.60877512469,10.9793,2.3911,0.0912248753135,2.48232,129.684,132.184
6,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,5.0,132.211,138.266,6.05532,138.267,141.3,1.0,2,1,142.583062262,1.28346487613,10.672,1.0587,0.416535123871,1.47524,142.901,144.383
