TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,0.9,1,0.1,-2,2,RR3,5,8,4.3,4.4,RR,0.6,1.0,0.0,49.5123,55.5656,6.05328,55.5659,58.5987,0.0,NA,NA,NA,NA,2.0,3.1912,NA,3.1912,60.611,63.8152
2,0.1,1,2,0,0,-5,MD1,-3,25,-3,-2,MD,0.9,1.0,1.0,63.8454,69.8973,6.05188,69.8976,72.9304,0.0,2,0,73.8273029303,0.896888395888,10.2819,1.3679,0.803111604112,2.17101,74.1516,76.3303
3,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,2.0,76.3574,82.3958,6.03831,82.396,85.4289,0.0,1,1,85.651334502,0.222399139719,9.5939,3.9403,1.47760086028,5.4179,85.9623,91.3951
4,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,3.0,91.4196,97.4773,6.05776,97.4776,100.51,1.0,1,1,101.243267265,0.732828860404,10.1237,1.1749,0.967171139596,2.14207,101.568,103.727
5,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,4.0,103.749,109.81,6.06124,109.81,112.842,1.0,1,1,113.995251546,1.15283708414,10.5466,1.0587,0.547162915859,1.60586,114.316,115.926
6,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,5.0,115.954,122.008,6.0534,122.008,125.041,0.0,NA,NA,NA,NA,2.0,4.7413,NA,4.7413,127.055,131.807
