TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,0.0,0.0272485,6.08879,6.06154,6.08911,9.12185,1.0,1.0,1.0,9.53605,0.4142,9.8088,2.2412,1.2858,3.527,9.84747,13.3885
2,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,1.0,13.4136,19.4707,6.05707,19.4709,22.5038,0.0,2.0,0.0,22.8,0.296193,9.68637,1.2245,1.40381,2.62831,23.1104,25.7534
3,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,2.0,25.7779,31.8358,6.05793,31.8361,34.8686,0.0,1.0,1.0,35.472,0.603421,9.9941,1.0825,1.09658,2.17908,35.7957,37.9853
4,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,3.0,38.0189,44.0844,6.06551,44.0847,47.1173,1.0,1.0,1.0,47.5681,0.450763,9.84915,1.5147,1.24924,2.76394,47.8881,50.6673
5,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,4.0,50.6916,56.7496,6.05793,56.7498,59.7827,0.0,2.0,0.0,60.2639,0.481179,9.8723,1.1604,1.21882,2.37922,60.5862,62.9658
6,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,5.0,62.9881,69.0482,6.06011,69.0484,72.0812,1.0,1.0,1.0,72.376,0.294789,9.68785,1.4355,1.40521,2.84071,72.6932,75.5476
7,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,6.0,75.5845,81.6467,6.06223,81.647,84.6797,0.0,1.0,0.0,85.0159,0.336196,9.73144,1.0075,1.3638,2.3713,85.3349,87.7131
8,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,7.0,87.7402,93.7953,6.05505,93.7955,96.8283,0.0,1.0,1.0,97.1039,0.27563,9.66372,1.6301,1.42437,3.05447,97.4231,100.478
9,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,8.0,100.501,106.56,6.05921,106.561,109.593,0.0,1.0,1.0,110.504,0.91044,10.3027,1.783,0.78956,2.57256,110.825,113.41
10,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,9.0,113.432,119.492,6.06042,119.493,122.525,1.0,1.0,1.0,123.408,0.882642,10.2762,2.1542,0.817358,2.97156,123.73,126.708
11,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,10.0,126.735,132.791,6.05567,132.791,135.824,0.0,2.0,0.0,136.176,0.352081,9.74078,2.5659,1.34792,3.91382,136.492,140.407
12,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,11.0,140.43,146.489,6.05875,146.489,149.522,0.0,2.0,0.0,150.072,0.549707,9.94156,1.5139,1.15029,2.66419,150.394,153.072
13,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,12.0,153.098,159.154,6.05643,159.155,162.187,1.0,2.0,0.0,162.552,0.364513,9.75399,1.8199,1.33549,3.15539,162.878,166.037
14,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,13.0,166.106,172.153,6.0467,172.153,175.186,1.0,2.0,0.0,175.728,0.542032,9.92179,1.61,1.15797,2.76797,176.044,178.819
15,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,14.0,178.853,184.918,6.06511,184.918,187.951,0.0,1.0,0.0,188.504,0.552825,9.95092,1.2203,1.14717,2.36747,188.824,191.201
16,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,15.0,191.225,197.283,6.05824,197.284,200.316,1.0,1.0,1.0,200.728,0.411595,9.80271,3.1124,1.2884,4.4008,201.04,205.449
17,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,16.0,205.478,211.515,6.03761,211.515,214.548,1.0,1.0,0.0,215.048,0.500028,9.87035,4.3408,1.19997,5.54077,215.365,220.914
18,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,17.0,220.943,226.996,6.05369,226.997,230.029,1.0,2.0,1.0,230.408,0.378454,9.7651,1.1412,1.32155,2.46275,230.721,233.196
