TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,0.0,0.0772315,6.14199,6.06476,6.14229,9.17503,0.0,2.0,0.0,10.336,1.16099,10.5588,1.3975,0.539006,1.93651,10.6558,12.6084
2,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,1.0,12.68,18.7404,6.06045,18.7407,21.7735,1.0,2.0,0.0,22.0479,0.274405,9.66796,1.1584,1.4256,2.584,22.3673,24.9567
3,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,2.0,25.0212,31.0723,6.05112,31.0725,34.1054,1.0,1.0,0.0,34.5121,0.406667,9.79093,1.1188,1.29333,2.41213,34.8334,37.2555
4,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,3.0,37.3341,43.3877,6.05352,43.3879,46.4206,0.0,1.0,0.0,46.8159,0.395284,9.78176,1.1231,1.30472,2.42782,47.1442,49.5874
5,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,4.0,49.6817,55.7362,6.05452,55.7364,58.7692,0.0,2.0,1.0,59.2079,0.438726,9.82628,1.1239,1.26127,2.38517,59.5296,61.9193
6,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,5.0,61.9902,68.0513,6.06109,68.0515,71.0845,1.0,2.0,0.0,71.5679,0.483396,9.87767,1.1622,1.2166,2.3788,71.8836,74.2678
7,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,6.0,74.3353,80.3833,6.04802,80.3836,83.4164,0.0,2.0,0.0,83.7759,0.359501,9.74064,4.7413,1.3405,6.0818,84.0972,90.1826
8,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,7.0,90.2546,96.3146,6.05996,96.3148,99.3477,0.0,2.0,0.0,99.7599,0.412161,9.80528,1.1342,1.28784,2.42204,100.075,102.498
9,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,8.0,102.565,108.63,6.06562,108.63,111.663,1.0,2.0,0.0,112.136,0.47308,9.87137,1.2493,1.22692,2.47622,112.464,114.946
10,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,9.0,115.019,121.079,6.05929,121.079,124.112,0.0,2.0,0.0,124.536,0.424155,9.81644,3.6229,1.27584,4.89874,124.853,129.761
11,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,10.0,129.835,135.877,6.0415,135.877,138.91,0.0,2.0,0.0,139.352,0.442136,9.81649,1.7448,1.25786,3.00266,139.669,142.676
12,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,11.0,142.747,148.809,6.06155,148.809,151.842,1.0,2.0,0.0,152.248,0.405843,9.80064,3.1912,1.29416,4.48536,152.572,157.058
13,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,12.0,157.124,163.174,6.04976,163.174,166.207,1.0,1.0,1.0,166.712,0.504948,9.88797,1.2245,1.19505,2.41955,167.03,169.457
14,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,13.0,169.574,175.622,6.0482,175.623,178.655,0.0,1.0,1.0,179.096,0.441194,9.82183,3.4263,1.25881,4.68511,179.417,184.105
15,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,14.0,184.153,190.204,6.05102,190.204,193.237,0.0,2.0,1.0,194.16,0.923077,10.307,1.1057,0.776923,1.88262,194.476,196.37
16,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,15.0,196.452,202.502,6.05082,202.503,205.535,0.0,2.0,0.0,205.888,0.352273,9.73612,2.5049,1.34773,3.85263,206.215,210.069
17,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,16.0,210.135,216.184,6.04909,216.184,219.217,0.0,1.0,1.0,219.784,0.566631,9.94873,3.9403,1.13337,5.07367,220.106,225.183
18,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,17.0,225.247,231.299,6.05216,231.299,234.332,1.0,1.0,0.0,234.704,0.371701,9.75681,2.3911,1.3283,3.7194,235.023,238.749
