TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,0.0,197.55,12.0,4.0,8.0,7.0,15.0,14.5106,212.06,212.061,215.093,0.0,2.0,0.0,216.102,1.0082,18.8517,4.7413,0.489498,0.6918,5.9226,216.411,222.343
2,0.2,1,2,0,0,0,SD4,-2,-6,-2,-1.2,SD,0.8,1.0,1.0,222.343,23.0,13.0,10.0,14.0,15.0,14.6184,236.962,236.962,239.99,0.0,2.0,0.0,241.67,1.67926,19.6264,2.134,0.381671,0.0207379,2.53641,241.985,244.524
3,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,2.0,244.524,34.0,17.0,17.0,33.0,18.0,17.8206,262.345,262.345,265.37,0.0,2.0,0.0,266.486,1.11524,22.2616,1.0587,0.179448,0.584759,1.82291,266.793,268.62
4,0.3,1,2,0,0,-2,MD2,2,9,2,1.3,MD,0.7,1.0,3.0,268.621,30.0,14.0,16.0,28.0,20.0,19.5145,288.135,288.136,291.167,1.0,2.0,0.0,292.598,1.43033,24.277,2.3911,0.485541,0.269667,3.14631,292.914,296.067
5,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,4.0,296.068,30.0,14.0,16.0,27.0,15.0,14.8397,310.907,310.908,313.931,1.0,2.0,0.0,314.453,0.522051,18.6859,1.727,0.160385,1.17795,3.06533,314.772,317.848
6,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,5.0,317.848,32.0,16.0,16.0,25.0,16.0,15.7788,333.627,333.628,336.645,0.0,1.0,0.0,337.846,1.20005,20.2973,2.557,0.221301,0.499953,3.27825,338.156,341.445
