"","TrialNumber","Condition","Run","P1_1","P1_2","SafeOption","P2_2","O2_2","O2_1","ProbNumber","O1_2","O1_1","EV2","EV1","ProbType","P2_1","ran","order","trialStartTime","viewingEndTime","viewingDur_total","thinkOnset","decideOnset","leftRight","resp","safeChoice","resp_onset","rt","decideDur_total","assignedITI","decide_pad","totalITI","ITI_onset","TrialEndTime","samplingCount_total","samplingCount_risky","samplingCount_safe","switchCount","samplingDur_assigned","samplingDur_total","samplingEndTime","sampling_pad","PID"
"1",1,"Descriptive","Run1",0.2,1,2,0,0,0,"SD12",6,29,6,5.8,"SD",0.8,1,0,0.0304285,6.07381,6.04338,6.07412,9.10662,0,"1.0","1.0","10.8000297546","1.69341433048",11.0696,1.7448,"0.0065856478177",1.75139,11.1169,12.8734,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"2",1,"Experiential","Run1",0.6,1,2,0,0,-12,"MD12",12,30,12,13.2,"MD",0.4,1,0,5.04386,NA,NA,21.687,24.7181,1,"2.0","0.0","25.2915344238","0.573479652405",20.5477,1.4961,"1.12652039528",2.98036,25.8023,28.7848,24,14,10,3,17,16.6424,21.6862,0.357744,"A001"
"3",1,"Descriptive","Run1",0.2,1,2,0,0,0,"SD12",6,29,6,5.8,"SD",0.8,1,0,0.0304285,6.07381,6.04338,6.07412,9.10662,0,"1.0","1.0","10.8000297546","1.69341433048",11.0696,1.7448,"0.0065856478177",1.75139,11.1169,12.8734,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"4",1,"Experiential","Run2",0.3,1,2,0,0,-4,"MD11",5,27,5,5.3,"MD",0.7,1,0,3.71462,NA,NA,20.3129,23.3431,1,"2.0","0.0","23.7542991638","0.411227583885",20.3397,1.2297,"1.2887724638",2.92112,24.2644,27.1936,26,9,17,2,17,16.5975,20.3121,0.402647,"A001"
"5",1,"Descriptive","Run2",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,0,0.0383165,6.07235,6.03403,6.07269,9.10551,0,"1.0","0.0","9.83989429474","0.734386384487",10.1016,1.8199,"0.965613603592",2.78551,10.158,12.9552,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"6",1,"Experiential","Run1",0.6,1,2,0,0,-12,"MD12",12,30,12,13.2,"MD",0.4,1,0,5.04386,NA,NA,21.687,24.7181,1,"2.0","0.0","25.2915344238","0.573479652405",20.5477,1.4961,"1.12652039528",2.98036,25.8023,28.7848,24,14,10,3,17,16.6424,21.6862,0.357744,"A001"
"7",1,"Descriptive","Run2",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,0,0.0383165,6.07235,6.03403,6.07269,9.10551,0,"1.0","0.0","9.83989429474","0.734386384487",10.1016,1.8199,"0.965613603592",2.78551,10.158,12.9552,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"8",1,"Experiential","Run2",0.3,1,2,0,0,-4,"MD11",5,27,5,5.3,"MD",0.7,1,0,3.71462,NA,NA,20.3129,23.3431,1,"2.0","0.0","23.7542991638","0.411227583885",20.3397,1.2297,"1.2887724638",2.92112,24.2644,27.1936,26,9,17,2,17,16.5975,20.3121,0.402647,"A001"
"9",2,"Descriptive","Run1",0.9,1,2,0,0,-10,"MD8",3,5,3,3.5,"MD",0.1,1,1,12.9034,18.9388,6.0354,18.9391,21.9721,0,"2.0","0.0","22.9359264374","0.963874578476",10.3326,3.9403,"0.736125409603",4.67643,23.2526,27.938,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"10",2,"Experiential","Run1",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,1,28.7851,NA,NA,43.7673,46.7992,0,"2.0","1.0","47.3714103699","0.572204947472",18.8863,2.4102,"1.12779510021",3.55637,47.8818,51.4485,23,14,9,3,15,14.9817,43.7668,0.018375,"A001"
"11",2,"Descriptive","Run1",0.9,1,2,0,0,-10,"MD8",3,5,3,3.5,"MD",0.1,1,1,12.9034,18.9388,6.0354,18.9391,21.9721,0,"2.0","0.0","22.9359264374","0.963874578476",10.3326,3.9403,"0.736125409603",4.67643,23.2526,27.938,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"12",2,"Experiential","Run2",0.1,1,2,0,0,-5,"MD5",-4,25,-4,-2,"MD",0.9,1,1,27.1939,NA,NA,41.9429,44.9741,0,"2.0","0.0","45.946269989","0.972183644772",19.0523,4.6191,"0.727816343307",5.59854,46.4562,52.0572,22,12,10,2,15,14.7485,41.9424,0.25162,"A001"
"13",2,"Descriptive","Run2",0.6,0.5,1,0.5,50,25,"RR6",-15,12,17.5,17.2,"RR",0.4,1,1,12.9839,19.0209,6.03708,19.0212,22.0538,0,"1.0","0.0","22.5039253235","0.450091958046",9.82006,3.1124,"1.24990808964",4.36231,22.8202,27.1869,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"14",2,"Experiential","Run1",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,1,28.7851,NA,NA,43.7673,46.7992,0,"2.0","1.0","47.3714103699","0.572204947472",18.8863,2.4102,"1.12779510021",3.55637,47.8818,51.4485,23,14,9,3,15,14.9817,43.7668,0.018375,"A001"
"15",2,"Descriptive","Run2",0.6,0.5,1,0.5,50,25,"RR6",-15,12,17.5,17.2,"RR",0.4,1,1,12.9839,19.0209,6.03708,19.0212,22.0538,0,"1.0","0.0","22.5039253235","0.450091958046",9.82006,3.1124,"1.24990808964",4.36231,22.8202,27.1869,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"16",2,"Experiential","Run2",0.1,1,2,0,0,-5,"MD5",-4,25,-4,-2,"MD",0.9,1,1,27.1939,NA,NA,41.9429,44.9741,0,"2.0","0.0","45.946269989","0.972183644772",19.0523,4.6191,"0.727816343307",5.59854,46.4562,52.0572,22,12,10,2,15,14.7485,41.9424,0.25162,"A001"
"17",3,"Descriptive","Run1",0.7,1,2,0,0,0,"SD5",-8,-10,-8,-7,"SD",0.3,1,2,27.9705,34.0206,6.05012,34.0208,37.0535,1,"NA","NA","NA","NA",2,1.3975,"NA",1.3975,39.0662,40.4702,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"18",3,"Experiential","Run1",0.4,1,2,0,0,0,"SD2",-2,-4,-2,-1.6,"SD",0.6,1,2,51.4488,NA,NA,68.4485,71.4792,0,"2.0","0.0","71.931427002","0.452178090811",20.7826,1.2135,"1.24782192707",2.46226,72.4419,74.9124,25,17,8,2,17,16.9991,68.448,0.000936777,"A001"
"19",3,"Descriptive","Run1",0.7,1,2,0,0,0,"SD5",-8,-10,-8,-7,"SD",0.3,1,2,27.9705,34.0206,6.05012,34.0208,37.0535,1,"NA","NA","NA","NA",2,1.3975,"NA",1.3975,39.0662,40.4702,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"20",3,"Experiential","Run2",0.9,0.7,1,0.3,25,15,"RR10",-3,5,5.4,6,"RR",0.1,1,2,52.0575,NA,NA,69.0725,72.1041,0,"1.0","0.0","72.5543899536","0.450307190418",20.7968,2.5575,"1.24969279766",3.79288,73.0648,76.8703,26,6,20,2,17,17.0144,69.072,-0.0143118,"A001"
"21",3,"Descriptive","Run2",0.8,1,2,0,0,0,"SD6",12,14,12,11.2,"SD",0.2,1,2,27.2126,33.2525,6.03991,33.2527,36.2853,1,"2.0","0.0","37.0478820801","0.76254594326",10.1353,1.4355,"0.937454044819",2.37295,37.3634,39.752,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"22",3,"Experiential","Run1",0.4,1,2,0,0,0,"SD2",-2,-4,-2,-1.6,"SD",0.6,1,2,51.4488,NA,NA,68.4485,71.4792,0,"2.0","0.0","71.931427002","0.452178090811",20.7826,1.2135,"1.24782192707",2.46226,72.4419,74.9124,25,17,8,2,17,16.9991,68.448,0.000936777,"A001"
"23",3,"Descriptive","Run2",0.8,1,2,0,0,0,"SD6",12,14,12,11.2,"SD",0.2,1,2,27.2126,33.2525,6.03991,33.2527,36.2853,1,"2.0","0.0","37.0478820801","0.76254594326",10.1353,1.4355,"0.937454044819",2.37295,37.3634,39.752,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"24",3,"Experiential","Run2",0.9,0.7,1,0.3,25,15,"RR10",-3,5,5.4,6,"RR",0.1,1,2,52.0575,NA,NA,69.0725,72.1041,0,"1.0","0.0","72.5543899536","0.450307190418",20.7968,2.5575,"1.24969279766",3.79288,73.0648,76.8703,26,6,20,2,17,17.0144,69.072,-0.0143118,"A001"
"25",4,"Descriptive","Run1",0.8,1,2,0,0,0,"SD9",13,16,13,12.8,"SD",0.2,1,3,40.4929,46.5524,6.05956,46.5527,49.5853,1,"2","0","49.999904472","0.414568042033",9.80702,1.1584,"1.28543195797",2.44383,50.3155,52.7687,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"26",4,"Experiential","Run1",0.4,1,2,0,0,-20,"MD4",-4,15,-4,-6,"MD",0.6,1,3,74.9127,NA,NA,91.7956,94.8268,0,"2.0","0.0","96.2035751343","1.37681257725",21.5909,1.7267,"0.323187381029",2.1676,96.7143,98.8935,25,19,6,2,17,16.8824,91.7951,0.117716,"A001"
"27",4,"Descriptive","Run1",0.8,1,2,0,0,0,"SD9",13,16,13,12.8,"SD",0.2,1,3,40.4929,46.5524,6.05956,46.5527,49.5853,1,"2","0","49.999904472","0.414568042033",9.80702,1.1584,"1.28543195797",2.44383,50.3155,52.7687,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"28",4,"Experiential","Run2",0.7,0.1,1,0.9,30,38,"RR11",-10,22,26,26.8,"RR",0.3,1,3,76.8706,NA,NA,93.3856,96.4183,0,"1.0","0.0","96.8662109375","0.447945803404",20.2957,1.1477,"1.25205421448",2.88531,97.3783,100.268,23,11,12,1,17,16.5145,93.3851,0.485555,"A001"
"29",4,"Descriptive","Run2",0.8,0.6,1,0.4,18,10,"RR9",-4,2,4.8,3.6,"RR",0.2,1,3,39.7823,45.8173,6.03493,45.8175,48.8511,1,"1.0","0.0","49.6719818115","0.820925951004",10.1896,1.61,"0.879074037075",2.48907,49.9896,52.484,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"30",4,"Experiential","Run1",0.4,1,2,0,0,-20,"MD4",-4,15,-4,-6,"MD",0.6,1,3,74.9127,NA,NA,91.7956,94.8268,0,"2.0","0.0","96.2035751343","1.37681257725",21.5909,1.7267,"0.323187381029",2.1676,96.7143,98.8935,25,19,6,2,17,16.8824,91.7951,0.117716,"A001"
"31",4,"Descriptive","Run2",0.8,0.6,1,0.4,18,10,"RR9",-4,2,4.8,3.6,"RR",0.2,1,3,39.7823,45.8173,6.03493,45.8175,48.8511,1,"1.0","0.0","49.6719818115","0.820925951004",10.1896,1.61,"0.879074037075",2.48907,49.9896,52.484,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"32",4,"Experiential","Run2",0.7,0.1,1,0.9,30,38,"RR11",-10,22,26,26.8,"RR",0.3,1,3,76.8706,NA,NA,93.3856,96.4183,0,"1.0","0.0","96.8662109375","0.447945803404",20.2957,1.1477,"1.25205421448",2.88531,97.3783,100.268,23,11,12,1,17,16.5145,93.3851,0.485555,"A001"
"33",5,"Descriptive","Run1",0.9,1,2,0,0,-30,"MD2",-1,2,-1,-1.2,"MD",0.1,1,4,52.7944,58.851,6.05661,58.8512,61.8839,0,"2","0","62.3839183127","0.500056070741",9.88956,3.6229,"1.19994392926",4.82284,62.6999,67.5337,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"34",5,"Experiential","Run1",0.9,1,2,0,0,-8,"MD7",4,6,4,4.6,"MD",0.1,1,4,98.8938,NA,NA,116.792,119.824,1,"2.0","0.0","120.211448669","0.387457370758",21.6177,1.3679,"1.31254267693",2.7827,120.722,123.507,25,19,6,1,18,17.8978,116.792,0.102257,"A001"
"35",5,"Descriptive","Run1",0.9,1,2,0,0,-30,"MD2",-1,2,-1,-1.2,"MD",0.1,1,4,52.7944,58.851,6.05661,58.8512,61.8839,0,"2","0","62.3839183127","0.500056070741",9.88956,3.6229,"1.19994392926",4.82284,62.6999,67.5337,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"36",5,"Experiential","Run2",0.2,1,2,0,0,0,"SD3",-7,-34,-7,-6.8,"SD",0.8,1,4,100.268,NA,NA,118.117,121.148,1,"2.0","0.0","121.562141418","0.413927674294",21.5939,1.3975,"1.28607237339",2.83579,122.073,124.915,28,15,13,3,18,17.8479,118.116,0.152222,"A001"
"37",5,"Descriptive","Run2",0.6,1,2,0,0,-12,"MD12",12,30,12,13.2,"MD",0.4,1,4,52.5122,58.5663,6.05408,58.5665,61.5993,0,"2.0","0.0","62.2799224854","0.680626451969",10.0677,1.5147,"1.01937353611",2.53407,62.5966,65.1326,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"38",5,"Experiential","Run1",0.9,1,2,0,0,-8,"MD7",4,6,4,4.6,"MD",0.1,1,4,98.8938,NA,NA,116.792,119.824,1,"2.0","0.0","120.211448669","0.387457370758",21.6177,1.3679,"1.31254267693",2.7827,120.722,123.507,25,19,6,1,18,17.8978,116.792,0.102257,"A001"
"39",5,"Descriptive","Run2",0.6,1,2,0,0,-12,"MD12",12,30,12,13.2,"MD",0.4,1,4,52.5122,58.5663,6.05408,58.5665,61.5993,0,"2.0","0.0","62.2799224854","0.680626451969",10.0677,1.5147,"1.01937353611",2.53407,62.5966,65.1326,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"40",5,"Experiential","Run2",0.2,1,2,0,0,0,"SD3",-7,-34,-7,-6.8,"SD",0.8,1,4,100.268,NA,NA,118.117,121.148,1,"2.0","0.0","121.562141418","0.413927674294",21.5939,1.3975,"1.28607237339",2.83579,122.073,124.915,28,15,13,3,18,17.8479,118.116,0.152222,"A001"
"41",6,"Descriptive","Run1",0.6,1,2,0,0,0,"SD8",7,12,7,7.2,"SD",0.4,1,5,67.5592,73.6157,6.05645,73.6159,76.6489,0,"2","0","77.1518938878","0.502993270406",9.89269,1.2493,"1.19700672959",2.44631,77.4658,79.9151,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"42",6,"Experiential","Run1",0.5,0.4,1,0.6,50,30,"RR8",-15,14,24,22,"RR",0.5,1,5,123.507,NA,NA,138.523,141.555,0,"1.0","0.0","142.571289062","1.01665210724",19.3643,1.0587,"0.683347940445",1.72664,143.082,144.822,18,8,10,2,15,15.0155,138.522,-0.0154121,"A001"
"43",6,"Descriptive","Run1",0.6,1,2,0,0,0,"SD8",7,12,7,7.2,"SD",0.4,1,5,67.5592,73.6157,6.05645,73.6159,76.6489,0,"2","0","77.1518938878","0.502993270406",9.89269,1.2493,"1.19700672959",2.44631,77.4658,79.9151,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"44",6,"Experiential","Run2",0.8,1,2,0,0,0,"SD9",13,16,13,12.8,"SD",0.2,1,5,124.915,NA,NA,139.43,142.463,0,"2.0","0.0","142.842163086","0.379440963268",18.2269,1.5734,"1.32055902481",3.37942,143.354,146.746,16,9,7,1,15,14.5146,139.43,0.48546,"A001"
"45",6,"Descriptive","Run2",0.8,1,2,0,0,0,"SD7",3,4,3,3.2,"SD",0.2,1,5,65.1569,71.1984,6.04154,71.1987,74.2313,0,"2.0","0.0","74.5918197632","0.360502660275",9.73495,2.2412,"1.3394973278",3.5807,74.9074,78.4979,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"46",6,"Experiential","Run1",0.5,0.4,1,0.6,50,30,"RR8",-15,14,24,22,"RR",0.5,1,5,123.507,NA,NA,138.523,141.555,0,"1.0","0.0","142.571289062","1.01665210724",19.3643,1.0587,"0.683347940445",1.72664,143.082,144.822,18,8,10,2,15,15.0155,138.522,-0.0154121,"A001"
"47",6,"Descriptive","Run2",0.8,1,2,0,0,0,"SD7",3,4,3,3.2,"SD",0.2,1,5,65.1569,71.1984,6.04154,71.1987,74.2313,0,"2.0","0.0","74.5918197632","0.360502660275",9.73495,2.2412,"1.3394973278",3.5807,74.9074,78.4979,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"48",6,"Experiential","Run2",0.8,1,2,0,0,0,"SD9",13,16,13,12.8,"SD",0.2,1,5,124.915,NA,NA,139.43,142.463,0,"2.0","0.0","142.842163086","0.379440963268",18.2269,1.5734,"1.32055902481",3.37942,143.354,146.746,16,9,7,1,15,14.5146,139.43,0.48546,"A001"
"49",7,"Descriptive","Run1",0.4,1,2,0,0,0,"SD11",8,22,8,8.8,"SD",0.6,1,6,79.9367,85.9812,6.04444,85.9814,89.0141,1,"2","0","89.503841694","0.48971375986",9.86711,3.1912,"1.21028624014",4.40149,89.8181,94.2303,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"50",7,"Experiential","Run1",0.6,1,2,0,0,-22,"MD1",-6,4,-6,-6.4,"MD",0.4,1,6,144.822,NA,NA,159.336,162.369,1,"2.0","0.0","162.739334106","0.370674669743",18.2175,2.2012,"1.32932531834",4.01657,163.251,167.268,21,13,8,1,15,14.514,159.336,0.48605,"A001"
"51",7,"Descriptive","Run1",0.4,1,2,0,0,0,"SD11",8,22,8,8.8,"SD",0.6,1,6,79.9367,85.9812,6.04444,85.9814,89.0141,1,"2","0","89.503841694","0.48971375986",9.86711,3.1912,"1.21028624014",4.40149,89.8181,94.2303,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"52",7,"Experiential","Run2",0.8,0.1,1,0.9,35,40,"RR7",-20,24,29.5,27.2,"RR",0.2,1,6,146.746,NA,NA,161.412,164.444,1,"1.0","0.0","164.778091431","0.334426552057",18.3319,1.0113,"1.36557340622",2.7121,165.29,168.01,22,14,8,2,15,14.6648,161.411,0.33523,"A001"
"53",7,"Descriptive","Run2",0.4,1,2,0,0,0,"SD2",-2,-4,-2,-1.6,"SD",0.6,1,6,78.519,84.5636,6.04458,84.5639,87.5962,1,"1.0","1.0","88.4238128662","0.827597796917",10.2048,4.3408,"0.872402191162",5.2132,88.7387,93.962,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"54",7,"Experiential","Run1",0.6,1,2,0,0,-22,"MD1",-6,4,-6,-6.4,"MD",0.4,1,6,144.822,NA,NA,159.336,162.369,1,"2.0","0.0","162.739334106","0.370674669743",18.2175,2.2012,"1.32932531834",4.01657,163.251,167.268,21,13,8,1,15,14.514,159.336,0.48605,"A001"
"55",7,"Descriptive","Run2",0.4,1,2,0,0,0,"SD2",-2,-4,-2,-1.6,"SD",0.6,1,6,78.519,84.5636,6.04458,84.5639,87.5962,1,"1.0","1.0","88.4238128662","0.827597796917",10.2048,4.3408,"0.872402191162",5.2132,88.7387,93.962,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"56",7,"Experiential","Run2",0.8,0.1,1,0.9,35,40,"RR7",-20,24,29.5,27.2,"RR",0.2,1,6,146.746,NA,NA,161.412,164.444,1,"1.0","0.0","164.778091431","0.334426552057",18.3319,1.0113,"1.36557340622",2.7121,165.29,168.01,22,14,8,2,15,14.6648,161.411,0.33523,"A001"
"57",8,"Descriptive","Run1",0.8,0.1,1,0.9,35,40,"RR7",-20,24,29.5,27.2,"RR",0.2,1,7,94.2636,100.329,6.06582,100.33,103.363,1,"1","0","103.815798049","0.453090705094",9.8522,1.1231,"1.24690929491",2.37001,104.135,106.512,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"58",8,"Experiential","Run1",0.3,0.5,1,0.5,30,15,"RR4",-8,5,11,12,"RR",0.7,1,7,167.269,NA,NA,181.784,184.816,1,"1.0","0.0","185.747268677","0.931078314781",18.7786,1.8631,"0.768921673298",3.11729,186.259,189.383,17,10,7,1,15,14.5148,181.784,0.485272,"A001"
"59",8,"Descriptive","Run1",0.8,0.1,1,0.9,35,40,"RR7",-20,24,29.5,27.2,"RR",0.2,1,7,94.2636,100.329,6.06582,100.33,103.363,1,"1","0","103.815798049","0.453090705094",9.8522,1.1231,"1.24690929491",2.37001,104.135,106.512,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"60",8,"Experiential","Run2",0.9,1,2,0,0,-30,"MD2",-1,2,-1,-1.2,"MD",0.1,1,7,168.01,NA,NA,182.993,186.024,1,"2.0","0.0","186.394073486","0.369987100363",18.6838,3.6695,"1.33001291752",5.01738,186.903,191.924,22,9,13,1,15,14.9822,182.992,0.0178633,"A001"
"61",8,"Descriptive","Run2",0.8,1,2,0,0,-9,"MD9",5,8,5,4.6,"MD",0.2,1,7,93.9892,100.028,6.03877,100.028,103.061,1,"2.0","0.0","103.423789978","0.362497419119",9.73456,1.2203,"1.33750259876",2.5578,103.74,106.311,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"62",8,"Experiential","Run1",0.3,0.5,1,0.5,30,15,"RR4",-8,5,11,12,"RR",0.7,1,7,167.269,NA,NA,181.784,184.816,1,"1.0","0.0","185.747268677","0.931078314781",18.7786,1.8631,"0.768921673298",3.11729,186.259,189.383,17,10,7,1,15,14.5148,181.784,0.485272,"A001"
"63",8,"Descriptive","Run2",0.8,1,2,0,0,-9,"MD9",5,8,5,4.6,"MD",0.2,1,7,93.9892,100.028,6.03877,100.028,103.061,1,"2.0","0.0","103.423789978","0.362497419119",9.73456,1.2203,"1.33750259876",2.5578,103.74,106.311,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"64",8,"Experiential","Run2",0.9,1,2,0,0,-30,"MD2",-1,2,-1,-1.2,"MD",0.1,1,7,168.01,NA,NA,182.993,186.024,1,"2.0","0.0","186.394073486","0.369987100363",18.6838,3.6695,"1.33001291752",5.01738,186.903,191.924,22,9,13,1,15,14.9822,182.992,0.0178633,"A001"
"65",9,"Descriptive","Run1",0.2,1,2,0,0,0,"SD3",-7,-34,-7,-6.8,"SD",0.8,1,8,106.538,112.578,6.03984,112.578,115.611,1,"2","0","116.215830747","0.60513940081",9.97777,1.1622,"1.09486059919",2.25706,116.531,118.794,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"66",9,"Experiential","Run1",0.6,1,2,0,0,0,"SD8",7,12,7,7.2,"SD",0.4,1,8,189.383,NA,NA,203.898,206.93,1,"2.0","0.0","207.387329102","0.457379639149",18.3042,1.5966,"1.24262034893",3.32529,207.897,211.23,18,11,7,1,15,14.514,203.897,0.486067,"A001"
"67",9,"Descriptive","Run1",0.2,1,2,0,0,0,"SD3",-7,-34,-7,-6.8,"SD",0.8,1,8,106.538,112.578,6.03984,112.578,115.611,1,"2","0","116.215830747","0.60513940081",9.97777,1.1622,"1.09486059919",2.25706,116.531,118.794,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"68",9,"Experiential","Run2",0.1,1,2,0,0,-1,"MD10",2,42,2,3.3,"MD",0.9,1,8,191.924,NA,NA,206.439,209.471,1,"NA","NA","NA","NA",2,1.8808,"NA",2.36604,211.478,213.855,22,7,15,1,15,14.5148,206.439,0.485243,"A001"
