"","TrialNumber","Condition","Run","P1_1","P1_2","SafeOption","P2_2","O2_2","O2_1","ProbNumber","O1_2","O1_1","EV2","EV1","ProbType","P2_1","ran","order","trialStartTime","viewingEndTime","viewingDur_total","thinkOnset","decideOnset","leftRight","resp","safeChoice","resp_onset","rt","decideDur_total","assignedITI","decide_pad","totalITI","ITI_onset","TrialEndTime","samplingCount_total","samplingCount_risky","samplingCount_safe","switchCount","samplingDur_assigned","samplingDur_total","samplingEndTime","sampling_pad","PID"
"87",11,"Descriptive","Run2",0.3,0.5,1,0.5,30,15,"RR4",-8,5,11,12,"RR",0.7,1,10,131.404,137.457,6.05281,137.457,140.49,0,"1.0","0.0","140.927780151","0.437779814005",9.82387,2.1542,"1.26222014427",3.41642,141.245,144.673,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"88",11,"Experiential","Run2",0.4,0.4,1,0.6,17,12,"RR2",-5,5,8.2,9.2,"RR",0.6,1,10,238.336,NA,NA,253.851,256.883,0,"1","0","257.281999108","0.398920346051",19.2462,2.3911,"1.30107965395",4.17783,257.793,261.982,20,9,11,2,16,15.5144,253.85,0.48565,"A001"
"89",12,"Descriptive","Run1",0.1,1,2,0,0,0,"SD10",3,32,3,3.2,"SD",0.9,1,11,148.221,154.257,6.03599,154.257,157.29,1,"2","0","158.711789691","1.42202714726",10.7909,1.2245,"0.277972852741",1.50247,159.028,160.54,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"90",12,"Experiential","Run1",0.1,1,2,0,0,0,"SD1",-3,-32,-3,-3.2,"SD",0.9,1,11,258.292,NA,NA,272.807,275.839,0,"NA","NA","NA","NA",2,1.2377,"NA",1.72337,277.846,279.572,20,11,9,1,15,14.5144,272.806,0.485674,"A001"
"91",12,"Descriptive","Run1",0.1,1,2,0,0,0,"SD10",3,32,3,3.2,"SD",0.9,1,11,148.221,154.257,6.03599,154.257,157.29,1,"2","0","158.711789691","1.42202714726",10.7909,1.2245,"0.277972852741",1.50247,159.028,160.54,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"92",12,"Experiential","Run2",0.9,1,2,0,0,-37,"MD3",-5,10,-5,5.3,"MD",0.1,1,11,261.983,NA,NA,276.599,279.63,0,"1","1","279.969982718","0.339722500881",18.2873,1.2853,"1.36027749912",3.02962,280.481,283.513,23,16,7,2,15,14.616,276.599,0.384038,"A001"
"93",12,"Descriptive","Run2",0.1,1,2,0,0,0,"SD1",-3,-32,-3,-3.2,"SD",0.9,1,11,144.701,150.739,6.03749,150.739,153.772,1,"1.0","1.0","155.399871826","1.62814581394",10.9986,2.5659,"0.0718542337418",2.63775,155.715,158.356,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"94",12,"Experiential","Run1",0.1,1,2,0,0,0,"SD1",-3,-32,-3,-3.2,"SD",0.9,1,11,258.292,NA,NA,272.807,275.839,0,"NA","NA","NA","NA",2,1.2377,"NA",1.72337,277.846,279.572,20,11,9,1,15,14.5144,272.806,0.485674,"A001"
"95",12,"Descriptive","Run2",0.1,1,2,0,0,0,"SD1",-3,-32,-3,-3.2,"SD",0.9,1,11,144.701,150.739,6.03749,150.739,153.772,1,"1.0","1.0","155.399871826","1.62814581394",10.9986,2.5659,"0.0718542337418",2.63775,155.715,158.356,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"96",12,"Experiential","Run2",0.9,1,2,0,0,-37,"MD3",-5,10,-5,5.3,"MD",0.1,1,11,261.983,NA,NA,276.599,279.63,0,"1","1","279.969982718","0.339722500881",18.2873,1.2853,"1.36027749912",3.02962,280.481,283.513,23,16,7,2,15,14.616,276.599,0.384038,"A001"
