TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,0.0,0.0716554,6.13708,6.06543,6.13744,9.17035,0.0,2.0,0.0,9.90389,0.733541,10.1322,1.0825,0.966459,2.04896,10.222,12.2873
2,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,1.0,12.3563,18.4193,6.06298,18.4195,21.4524,1.0,2.0,0.0,21.7519,0.299522,9.69556,1.5139,1.40048,2.91438,22.0759,25.0021
3,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,2.0,25.0695,31.118,6.04846,31.1182,34.1509,0.0,1.0,1.0,34.7759,0.624991,10.0063,1.5147,1.07501,2.58971,35.0918,37.6841
4,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,3.0,37.7817,43.8164,6.03477,43.8167,46.8493,1.0,2.0,1.0,47.1279,0.278567,9.64624,1.61,1.42143,3.03143,47.4505,50.4829
5,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,4.0,50.5562,56.6148,6.0586,56.6151,59.6479,0.0,2.0,0.0,59.944,0.296046,9.68772,1.1604,1.40395,2.56435,60.2591,62.8309
6,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,5.0,62.9005,68.9629,6.06241,68.9631,71.9799,1.0,2.0,0.0,72.5279,0.547938,9.92737,1.783,1.15206,2.93506,72.8498,75.7963
7,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,6.0,75.8639,81.9285,6.06464,81.9288,84.9618,1.0,2.0,1.0,85.3838,0.421958,9.81987,3.1124,1.27804,4.39044,85.7118,90.1112
8,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,7.0,90.1812,96.2437,6.06257,96.244,99.2768,0.0,2.0,0.0,99.6158,0.338983,9.73459,1.4355,1.36102,2.79652,99.9438,102.743
9,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,8.0,102.839,108.892,6.05319,108.892,111.925,1.0,1.0,0.0,112.832,0.906544,10.2932,2.5659,0.793456,3.35936,113.149,116.525
10,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,9.0,116.595,122.641,6.04628,122.641,125.674,0.0,2.0,0.0,126.12,0.446237,9.82527,1.0075,1.25376,2.26126,126.443,128.707
11,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,10.0,128.783,134.839,6.05636,134.839,137.872,0.0,1.0,0.0,138.184,0.311631,9.70093,2.2412,1.38837,3.62957,138.49,142.122
12,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,11.0,142.192,148.238,6.0452,148.238,151.271,1.0,2.0,0.0,151.712,0.441216,9.81944,4.3408,1.25878,5.59958,152.033,157.637
13,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,12.0,157.709,163.736,6.02665,163.736,166.769,1.0,1.0,1.0,168.272,1.50287,10.8624,2.1542,0.197127,2.35133,168.591,170.952
14,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,13.0,171.022,177.084,6.06191,177.085,180.117,0.0,2.0,0.0,180.424,0.306547,9.70129,1.2245,1.39345,2.61795,180.744,183.367
15,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,14.0,183.435,189.483,6.04836,189.483,192.515,0.0,2.0,0.0,193.536,1.02029,10.4012,1.8199,0.679713,2.49961,193.85,196.366
16,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,15.0,196.419,202.465,6.0458,202.465,205.498,1.0,2.0,0.0,206.096,0.598065,9.97685,1.6301,1.10193,2.73203,206.412,209.148
17,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,16.0,209.217,215.263,6.04586,215.263,218.296,0.0,2.0,0.0,218.616,0.319889,9.69843,1.1412,1.38011,2.52131,218.937,221.463
18,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,17.0,221.529,227.562,6.03321,227.562,230.595,1.0,2.0,0.0,230.968,0.372872,9.73909,1.2203,1.32713,2.54743,231.269,233.828
