TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,0.0,236.931,5.0,2.0,3.0,4.0,15.0,14.5155,251.447,251.448,254.48,1.0,2.0,0.0,256.187042236,1.70716607571,19.5556,3.9403,0.484576,-0.00716610532254,4.41771,256.501,260.93
2,0.3,1,2,0,0,-2,MD2,2,9,2,1.3,MD,0.7,1.0,1.0,260.93,32.0,22.0,10.0,6.0,20.0,19.5201,280.45,280.451,283.477,1.0,NA,NA,NA,NA,2.0,1.233,0.479978,NA,1.71298,285.483,287.21
3,0.6,1,2,0,0,0,SD3,-7,-12,-7,-7.2,SD,0.4,1.0,2.0,287.21,23.0,13.0,10.0,7.0,15.0,14.6639,301.874,301.875,304.907,0.0,1,1,305.931005045,1.02353687491,19.0209,2.134,0.336128,0.676463125087,3.14659,306.238,309.391
4,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,3.0,309.391,27.0,15.0,12.0,3.0,15.0,14.7847,324.176,324.176,327.205,0.0,1,0,328.754946686,1.55038211215,19.6641,4.7413,0.215341,0.149617887847,5.10626,329.07,334.188
5,0.8,1,2,0,0,0,SD1,18,20,18,16,SD,0.2,1.0,4.0,334.188,24.0,15.0,9.0,3.0,16.0,15.5145,349.702,349.703,352.735,1.0,2,0,353.506954283,0.771894020028,19.6191,3.1912,0.485598,0.928105979972,4.6049,353.823,358.435
6,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,5.0,358.435,26.0,14.0,12.0,13.0,18.0,17.7653,376.2,376.201,379.232,1.0,NA,NA,NA,NA,2.0,1.3679,0.234739,NA,1.60264,381.24,382.849
