TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,0.0,0.0871055,6.09543,6.00833,6.09577,9.10261,0.0,2.0,0.0,9.43955,0.336939,9.65244,1.1239,1.36306,2.48696,9.75496,12.2431
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,12.3156,18.3279,6.01235,18.3282,21.3363,0.0,1.0,0.0,21.6631,0.326747,9.64749,1.1188,1.37325,2.49205,21.9783,24.4727
3,0.4,1,2,0,0,-20,MD4,-4,15,-4,-6,MD,0.6,1.0,2.0,24.5498,30.5597,6.0099,30.56,33.5692,1.0,2.0,0.0,33.8785,0.309342,9.62872,1.2493,1.39066,2.63996,34.1944,36.8349
4,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,3.0,36.9038,42.9102,6.00639,42.9104,45.9182,1.0,1.0,1.0,46.214,0.295823,9.61016,1.2245,1.40418,2.62868,46.5263,49.1583
5,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,4.0,49.2318,55.2431,6.01132,55.2434,58.2511,1.0,1.0,1.0,58.5414,0.290338,9.60961,1.1057,1.40966,2.51536,58.8566,61.3751
6,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,5.0,61.4518,67.4592,6.0074,67.4595,70.4667,0.0,2.0,0.0,70.9649,0.498226,9.81308,3.4263,1.20177,4.62807,71.2789,75.9096
7,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,6.0,75.9782,81.9858,6.00758,81.9861,84.9901,1.0,2.0,0.0,86.2043,1.21418,10.5261,1.3975,0.485824,1.88332,86.5163,88.4002
8,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,7.0,88.4694,94.4737,6.00434,94.4741,97.4814,1.0,2.0,0.0,98.4277,0.946326,10.2583,1.1584,0.753674,1.91207,98.7407,100.655
9,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,8.0,100.73,106.741,6.01094,106.741,109.748,0.0,1.0,1.0,110.139,0.390986,9.70896,3.6229,1.30901,4.93191,110.454,115.39
10,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,9.0,115.44,121.449,6.00944,121.45,124.454,1.0,1.0,1.0,124.795,0.340804,9.65489,1.1622,1.3592,2.5214,125.108,127.631
11,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,10.0,127.71,133.72,6.00911,133.72,136.728,1.0,2.0,0.0,137.17,0.442214,9.75956,3.1912,1.25779,4.44899,137.485,141.936
12,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,11.0,142.011,148.016,6.00542,148.017,151.021,1.0,1.0,0.0,151.385,0.36401,9.67443,1.1231,1.33599,2.45909,151.702,154.163
13,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,12.0,154.249,160.258,6.00977,160.259,163.264,0.0,2.0,0.0,163.825,0.561338,9.87639,4.7413,1.13866,5.87996,164.138,170.021
14,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,13.0,170.094,176.104,6.00938,176.104,179.113,0.0,1.0,1.0,179.488,0.37529,9.69389,3.9403,1.32471,5.26501,179.801,185.069
15,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,14.0,185.144,191.154,6.01027,191.154,194.162,0.0,1.0,1.0,195.256,1.09343,10.412,1.7448,0.606568,2.35137,195.568,197.924
16,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,15.0,198.002,204.014,6.0116,204.014,207.02,0.0,1.0,1.0,207.407,0.38749,9.70507,2.5049,1.31251,3.81741,207.72,211.542
17,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,16.0,211.613,217.625,6.01177,217.625,220.631,1.0,1.0,0.0,220.983,0.351194,9.66922,2.3911,1.34881,3.73991,221.298,225.042
18,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,17.0,225.127,231.139,6.0115,231.139,234.144,0.0,2.0,0.0,234.414,0.269898,9.58653,1.1342,1.4301,2.5643,234.728,237.295
