TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,0.0,0.0928705,6.09927,6.0064,6.09973,9.10315,0.0,1.0,0.0,9.36757,0.264423,9.5747,1.0825,1.43558,2.51808,9.68592,12.2062
2,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,1.0,12.3052,18.3156,6.01047,18.316,21.3207,0.0,1.0,1.0,21.7031,0.382366,9.69788,1.6301,1.31763,2.94773,22.0159,24.9645
3,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,2.0,25.0419,31.051,6.00915,31.0514,34.0587,1.0,1.0,1.0,34.6866,0.627849,9.94468,2.2412,1.07215,3.31335,35.0,38.3154
4,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,3.0,38.3931,44.4019,6.00878,44.4022,47.4107,1.0,1.0,1.0,47.686,0.275324,9.5929,2.5659,1.42468,3.99058,48.0016,51.9942
5,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,4.0,52.0787,58.0919,6.01327,58.0922,61.0976,1.0,1.0,0.0,61.2294,0.131751,9.45072,1.5139,1.56825,3.08215,61.5473,64.6306
6,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,5.0,64.7051,70.7109,6.00578,70.7113,73.716,0.0,1.0,0.0,73.9969,0.280844,9.59174,1.1412,1.41916,2.56036,74.3145,76.8759
7,0.9,0.7,1,0.3,25,15,RR10,-3,5,5.4,6,RR,0.1,1.0,6.0,76.9604,82.9696,6.00916,82.9698,85.9778,1.0,1.0,0.0,86.4283,0.450418,9.76785,1.4355,1.24958,2.68508,86.7439,89.43
8,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,7.0,89.4936,95.5025,6.00896,95.5028,98.5121,1.0,1.0,0.0,98.6198,0.107675,9.42622,1.61,1.59233,3.20233,98.934,102.142
9,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,8.0,102.221,108.228,6.00613,108.228,111.232,0.0,1.0,1.0,111.859,0.627255,9.93791,1.5147,1.07274,2.58744,112.173,114.764
10,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,9.0,114.841,120.848,6.00727,120.849,123.857,1.0,2.0,0.0,124.443,0.585279,9.90173,1.0075,1.11472,2.12222,124.755,126.88
11,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,10.0,126.959,132.968,6.0094,132.968,135.975,1.0,1.0,0.0,136.562,0.586779,9.90344,4.3408,1.11322,5.45402,136.879,142.334
12,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,11.0,142.4,148.409,6.0094,148.409,151.416,1.0,1.0,0.0,151.649,0.233442,9.5498,1.2203,1.46656,2.68686,151.965,154.656
13,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,12.0,154.736,160.743,6.00703,160.743,163.75,0.0,1.0,1.0,163.897,0.147179,9.4613,2.1542,1.55282,3.70702,164.209,167.921
14,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,13.0,168.009,174.021,6.01208,174.021,177.026,0.0,1.0,1.0,177.217,0.190801,9.50781,3.1124,1.5092,4.6216,177.53,182.154
15,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,14.0,182.232,188.249,6.01684,188.249,191.258,0.0,1.0,1.0,191.56,0.301771,9.62743,1.8199,1.39823,3.21813,191.874,195.093
16,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,15.0,195.173,201.182,6.00837,201.182,204.19,0.0,1.0,1.0,204.551,0.360989,9.67812,1.2245,1.33901,2.56351,204.865,207.431
17,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,16.0,207.495,213.509,6.01453,213.51,216.514,1.0,1.0,0.0,216.551,0.036808,9.35606,1.783,1.66319,3.44619,216.866,220.314
18,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,17.0,220.406,226.413,6.00707,226.413,229.42,0.0,1.0,0.0,229.75,0.330349,9.64436,1.1604,1.36965,2.53005,230.066,232.602
