TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.1,1,2,0,0,-5,MD1,-3,25,-3,-2,MD,0.9,1.0,0.0,194.906,8.0,4.0,4.0,7.0,20.0,19.5084,214.414,214.415,217.447,1.0,2.0,0.0,218.377,0.930533,23.7718,2.557,0.491723,0.769467,3.81819,218.686,222.514
2,0.8,0.5,1,0.5,-4,2,RR2,25,12,10.5,10,RR,0.2,1.0,1.0,222.514,9.0,4.0,5.0,8.0,15.0,14.5143,237.028,237.029,240.061,0.0,2.0,1.0,240.753,0.692603,18.5395,1.727,0.485788,1.0074,3.22019,241.062,244.294
3,0.4,1,2,0,0,0,SD2,3,8,3,3.2,SD,0.6,1.0,2.0,244.294,15.0,8.0,7.0,8.0,15.0,14.5143,258.809,258.809,261.841,0.0,1.0,1.0,262.513,0.672219,18.5189,1.233,0.48575,1.02778,2.74653,262.827,265.575
4,0.25,0.6,1,0.4,-2,4,RR1,10,10,5.2,5.5,RR,0.75,1.0,3.0,265.575,21.0,11.0,10.0,10.0,18.0,17.5143,283.089,283.09,286.122,1.0,1.0,0.0,286.977,0.855227,21.7022,3.9403,0.485744,0.844773,5.27082,287.296,292.571
5,0.7,1,2,0,0,-8,MD4,10,17,10,9.5,MD,0.3,1.0,4.0,292.572,21.0,10.0,11.0,10.0,16.0,15.5147,308.086,308.087,311.119,0.0,2.0,0.0,312.297,1.17829,20.0255,4.7413,0.485407,0.521709,5.74842,312.609,318.368
6,0.5,1,2,0,0,-15,MD3,9,32,9,8.5,MD,0.5,1.0,5.0,318.369,23.0,11.0,12.0,6.0,15.0,14.7202,333.089,333.089,336.116,0.0,2.0,0.0,337.417,1.30098,19.3488,1.0587,0.279893,0.399016,1.73761,337.735,339.483
